population,county_name,state_fips,county_fips
58805,"Autauga County, Alabama",01,001
231767,"Baldwin County, Alabama",01,003
25223,"Barbour County, Alabama",01,005
22293,"Bibb County, Alabama",01,007
59134,"Blount County, Alabama",01,009
10357,"Bullock County, Alabama",01,011
19051,"Butler County, Alabama",01,013
116441,"Calhoun County, Alabama",01,015
13080,"Lewis County, Kentucky",21,135
24275,"Lincoln County, Kentucky",21,137
8888,"Livingston County, Kentucky",21,139
27432,"Logan County, Kentucky",21,141
8680,"Lyon County, Kentucky",21,143
67875,"McCracken County, Kentucky",21,145
16888,"McCreary County, Kentucky",21,147
92701,"Madison County, Kentucky",21,151
19581,"Marion County, Kentucky",21,155
31659,"Marshall County, Kentucky",21,157
17120,"Mason County, Kentucky",21,161
30003,"Meade County, Kentucky",21,163
22641,"Mercer County, Kentucky",21,167
10286,"Metcalfe County, Kentucky",21,169
28114,"Montgomery County, Kentucky",21,173
13726,"Morgan County, Kentucky",21,175
46738,"Nelson County, Kentucky",21,179
7537,"Nicholas County, Kentucky",21,181
67607,"Oldham County, Kentucky",21,185
11278,"Owen County, Kentucky",21,187
14644,"Pendleton County, Kentucky",21,191
58669,"Pike County, Kentucky",21,195
13129,"Powell County, Kentucky",21,197
2193,"Robertson County, Kentucky",21,201
16037,"Rockcastle County, Kentucky",21,203
17991,"Russell County, Kentucky",21,207
57155,"Scott County, Kentucky",21,209
19594,"Simpson County, Kentucky",21,213
19490,"Spencer County, Kentucky",21,215
12243,"Todd County, Kentucky",21,219
8474,"Trimble County, Kentucky",21,223
13668,"Union County, Kentucky",21,225
12027,"Washington County, Kentucky",21,229
19555,"Wayne County, Kentucky",21,231
36712,"Whitley County, Kentucky",21,235
6562,"Wolfe County, Kentucky",21,237
111139,"Androscoggin County, Maine",23,001
67105,"Aroostook County, Maine",23,003
29456,"Franklin County, Maine",23,007
55478,"Hancock County, Maine",23,009
40607,"Knox County, Maine",23,013
35237,"Lincoln County, Maine",23,015
152199,"Penobscot County, Maine",23,019
16800,"Piscataquis County, Maine",23,021
50477,"Somerset County, Maine",23,025
31095,"Washington County, Maine",23,029
211972,"York County, Maine",23,031
363887,"Anoka County, Minnesota",27,003
35183,"Becker County, Minnesota",27,005
46228,"Beltrami County, Minnesota",27,007
41379,"Benton County, Minnesota",27,009
5166,"Big Stone County, Minnesota",27,011
69112,"Blue Earth County, Minnesota",27,013
25912,"Brown County, Minnesota",27,015
36207,"Carlton County, Minnesota",27,017
106922,"Carver County, Minnesota",27,019
30066,"Cass County, Minnesota",27,021
12598,"Chippewa County, Minnesota",27,023
56621,"Chisago County, Minnesota",27,025
12758,"Meigs County, Tennessee",47,121
220069,"Montgomery County, Tennessee",47,125
6461,"Moore County, Tennessee",47,127
30787,"Obion County, Tennessee",47,131
22511,"Overton County, Tennessee",47,133
5001,"Pickett County, Tennessee",47,137
17544,"Polk County, Tennessee",47,139
32870,"Rhea County, Tennessee",47,143
