county_name,median_household_income,housing_units,state_fips,county_fips
"Autauga County, Alabama",68315,24457,01,001
"Baldwin County, Alabama",71039,125113,01,003
"Barbour County, Alabama",39712,11673,01,005
"Bibb County, Alabama",50669,9046,01,007
"Blount County, Alabama",57440,24677,01,009
"Bullock County, Alabama",36136,4541,01,011
"Butler County, Alabama",44429,9835,01,013
"Calhoun County, Alabama",54339,53167,01,015
"Chambers County, Alabama",48805,16427,01,017
"Cherokee County, Alabama",46621,14687,01,019
"Chilton County, Alabama",62471,19546,01,021
"Choctaw County, Alabama",43299,7138,01,023
"Clarke County, Alabama",47549,11733,01,025
"Clay County, Alabama",48074,7040,01,027
"Cleburne County, Alabama",51553,6818,01,029
"Coffee County, Alabama",62199,24155,01,031
"Colbert County, Alabama",56149,27709,01,033
"Conecuh County, Alabama",39888,6451,01,035
"Coosa County, Alabama",52279,6045,01,037
"Covington County, Alabama",48772,18644,01,039
"Crenshaw County, Alabama",48557,6553,01,041
"Cullman County, Alabama",58119,39182,01,043
"Dale County, Alabama",52813,22829,01,045
"Dallas County, Alabama",37180,18992,01,047
"DeKalb County, Alabama",47920,30716,01,049
"Elmore County, Alabama",73258,36787,01,051
"Escambia County, Alabama",41153,16715,01,053
"Etowah County, Alabama",52177,47412,01,055
"Fayette County, Alabama",45650,7816,01,057
"Franklin County, Alabama",47359,13940,01,059
"Geneva County, Alabama",47608,12494,01,061
"Greene County, Alabama",32796,4271,01,063
"Hale County, Alabama",35851,7464,01,065
"Henry County, Alabama",58395,9110,01,067
"Houston County, Alabama",55064,49339,01,069
"Jackson County, Alabama",46748,24706,01,071
"Jefferson County, Alabama",63595,308428,01,073
"Lamar County, Alabama",49565,7104,01,075
"Lauderdale County, Alabama",56081,44705,01,077
"Lawrence County, Alabama",54786,15270,01,079
"Lee County, Alabama",59288,75473,01,081
"Limestone County, Alabama",80146,42616,01,083
"Lowndes County, Alabama",33125,4823,01,085
"Macon County, Alabama",41206,9662,01,087
"Madison County, Alabama",78058,171313,01,089
"Marengo County, Alabama",42975,9834,01,091
"Marion County, Alabama",49743,14143,01,093
"Marshall County, Alabama",58272,41328,01,095
"Mobile County, Alabama",55352,184845,01,097
"Monroe County, Alabama",39965,10214,01,099
"Montgomery County, Alabama",56707,105488,01,101
"Morgan County, Alabama",61588,53324,01,103
"Perry County, Alabama",32332,3985,01,105
"Pickens County, Alabama",45339,8714,01,107
"Pike County, Alabama",42616,16049,01,109
"Randolph County, Alabama",49879,12412,01,111
"Russell County, Alabama",47420,27382,01,113
"St. Clair County, Alabama",73218,38133,01,115
"Shelby County, Alabama",90618,89612,01,117
"Sumter County, Alabama",31726,6329,01,119
"Talladega County, Alabama",52457,38088,01,121
"Tallapoosa County, Alabama",53282,22777,01,123
"Tuscaloosa County, Alabama",61645,101330,01,125
"Walker County, Alabama",52987,30127,01,127
"Washington County, Alabama",51184,7779,01,129
"Wilcox County, Alabama",38208,5314,01,131
"Winston County, Alabama",49494,13091,01,133
"Aleutians East Borough, Alaska",79961,1089,02,013
"Aleutians West Census Area, Alaska",100662,1403,02,016
"Anchorage Municipality, Alaska",95731,118938,02,020
"Bethel Census Area, Alaska",64094,6003,02,050
"Bristol Bay Borough, Alaska",94167,875,02,060
"Chugach Census Area, Alaska",83068,3760,02,063
"Copper River Census Area, Alaska",70606,2564,02,066
"Denali Borough, Alaska",87292,1385,02,068
"Dillingham Census Area, Alaska",69412,2417,02,070
"Fairbanks North Star Borough, Alaska",81655,42772,02,090
"Haines Borough, Alaska",68276,1410,02,100
"Hoonah-Angoon Census Area, Alaska",62344,1708,02,105
"Juneau City and Borough, Alaska",95711,14073,02,110
"Kenai Peninsula Borough, Alaska",76272,32567,02,122
"Ketchikan Gateway Borough, Alaska",82763,6615,02,130
"Kodiak Island Borough, Alaska",91138,5798,02,150
"Kusilvak Census Area, Alaska",42663,2335,02,158
"Lake and Peninsula Borough, Alaska",61607,1380,02,164
"Matanuska-Susitna Borough, Alaska",86435,50491,02,170
"Nome Census Area, Alaska",70121,4116,02,180
"North Slope Borough, Alaska",83472,2625,02,185
"Northwest Arctic Borough, Alaska",77647,2726,02,188
"Petersburg Borough, Alaska",77826,1792,02,195
"Prince of Wales-Hyder Census Area, Alaska",61779,3252,02,198
"Sitka City and Borough, Alaska",95261,4138,02,220
"Skagway Municipality, Alaska",79583,631,02,230
"Southeast Fairbanks Census Area, Alaska",75378,3537,02,240
"Wrangell City and Borough, Alaska",61000,1350,02,275
"Yakutat City and Borough, Alaska",76875,420,02,282
"Yukon-Koyukuk Census Area, Alaska",47826,4018,02,290
"Apache County, Arizona",37483,29032,04,001
"Cochise County, Arizona",58421,59056,04,003
"Coconino County, Arizona",67266,69233,04,005
"Gila County, Arizona",55242,32519,04,007
