Name,State,Location,Capacity(MW),Capacity Factor,Annual Generation (GWh),CO2 emissions (Tons/year) [2][3],CO2 emissions/ Annual Generation,Majority Owner,Former Fuel Type,New Fuel Type,Conversion Date,Ref
Amalgamated Sugar Twin Falls,Idaho,42°31′55″N 114°25′55″W﻿ / ﻿42.53194°N 114.43194°W,10.2,,52 (2019),"224,652 (2019)","4,320 (2019)",Amalgamated Sugar Company,Bituminous coal,Natural gas,January 2021(Units 1500 & 2500) April 2023 (Unit 4000),[183][184][185]
Archer Daniels Midland Des Moines,Iowa,41°37′34.0″N 93°34′59.7″W﻿ / ﻿41.626111°N 93.583250°W,7.9,,25 (2019),"122,310 (2019)","4,892 (2019)",Archer Daniels Midland,Sub-bituminous coal,Natural gas,February 2025,[186][187][185]
Bailly,Indiana,41°38′36″N 87°07′22″W﻿ / ﻿41.64333°N 87.12278°W,604.0,,,,,Northern Indiana Public Service Company (NIPSCO),Bituminous coal,Natural gas,"May 31, 2018",[188][189][190][191]
Big Sandy,Kentucky,38°10′20″N 82°37′03″W﻿ / ﻿38.17222°N 82.61750°W,1097.0,,,,,Kentucky Power Company,Bituminous coal,Natural gas,"May 30, 2016",[192][193]
Cane Run,Kentucky,38°10′36.03″N 85°53′28.07″W﻿ / ﻿38.1766750°N 85.8911306°W,640.0,,,,,Louisville Gas and Electric,Bituminous coal,Natural gas,June 2015,[194][195][196]
Colbert Fossil Plant [note 19],Alabama,34°44′27″N 87°50′56″W﻿ / ﻿34.74083°N 87.84889°W,1350.0,,,,,Louisville Gas and Electric,Bituminous coal,Natural gas,"March 23, 2016",[197][198]
Crist [note 20],Florida,30°33′55″N 87°13′33″W﻿ / ﻿30.565167°N 87.225944°W,1135.0,,"1,100 (2020)","2,604,934 (2019)",976 (2019),Gulf Power Company,Bituminous coal,Natural gas,2021,[199]
Ingredion Incorporated,Illinois,41°46′40″N 87°49′27″W﻿ / ﻿41.777799°N 87.824202°W,45.0,,242 (2019),"693,731 (2019)","2,867 (2019)",Ingredion Incorporated,Bituminous coal,Natural gas,August 2022,[185][200][201]
Intermountain Power Plant,Utah,39°30′27″N 112°34′49″W﻿ / ﻿39.50750°N 112.58028°W,840.0,,,,,Intermountain Power Agency,Coal,Green Hydrogen and Natural Gas,2026,[202]
Iowa State University,Iowa,42°01′40″N 93°38′24″W﻿ / ﻿42.02775°N 93.63994°W,46.0,,107 (2019),,,Iowa State University,"Bituminous coal, natural gas",Natural gas,December 2020,[203][204][205] [185]
Mount Tom,Massachusetts,42°16′52″N 72°36′18″W﻿ / ﻿42.28111°N 72.60500°W,136.0,,,,,Firstlight Power Resources Inc,Bituminous coal,Solar (5.76 MW) Battery Storage (3 - 5 MW),"March 23, 2016",[206][207][208][209]
Pawnee,Colorado,40°13′11″N 103°40′43″W﻿ / ﻿40.219746°N 103.678693°W,505.0,,"2,510 (2019)","3,503,839 (2018)",,Xcel Energy,Sub-bituminous coal (Unit 1),Natual Gas,"December 31, 2025",[210][211][185]
Perry K.,Indiana,39°45′46″N 86°10′01″W﻿ / ﻿39.76278°N 86.16694°W,604.0,,,,,Citizens Energy Group,Bituminous coal,Natural gas,2016,[42][212][213]
Prairie Creek,Iowa,41°56′39″N 91°38′20″W﻿ / ﻿41.944053°N 91.638984°W,213.0,,43 (2019),"198,803 (2018)",,Interstate Power and Light,Sub-bituminous coal (Units 1-4),"Natural Gas (Units 3-4), Retired (Units 1-2)","2017 (Unit 4), December 2025(Units 1-3)",[214][215][216]
Reid Gardner,Nevada,36°39′25″N 114°38′02″W﻿ / ﻿36.657°N 114.634°W,557.0,,,,,NV Energy California Department of Water Resources,Bituminous coal,Battery Storage,March 2017,[217][218][219][220][221][222] [223][224][225][226][227][228]
Robert D. Green,Kentucky,37°38′N 87°30′W﻿ / ﻿37.64°N 87.50°W,528.0,,,,,Big Rivers Electric Cooperation,Bituminous coal,Natural gas,2022,[229][230]
Robert Reid,Kentucky,37°38′43″N 87°30′10″W﻿ / ﻿37.64528°N 87.50278°W,96.0,,,,,Big Rivers Electric Cooperation,Bituminous coal,Natural gas Fuel oil,2015,[231]
Rumford,Maine,44°33′07″N 70°32′33″W﻿ / ﻿44.552008°N 70.542397°W,102.6,,,,,ND Paper Inc,Coal (unknown),Bioenergy: (paper mill wastes) Bioenergy: Wood & other biomass (solids) Bituminous coal[note 21] Bioenergy: Wastewater and sewage sludge (solids or biogas) Fossil liquids: unknown,2015,[232]
Shawville,Pennsylvania,41°04′02″N 78°21′55″W﻿ / ﻿41.067089°N 78.365144°W,625.0,,,,,Midwood Holdings LLC,Bituminous coal,Natural gas,2016,[233]
Spruance,Virginia,37°27′20″N 77°25′51″W﻿ / ﻿37.455556°N 77.4308°W,229.6,,,,,Spruance Genco LLC,Bituminous coal,Natural Gas,2019,[234]
