geoid,state_abbr,total_claims,total_building_damage_$,total_content_damage_$
,AK,30,164102.7,15416.58
,AL,805,4488026.09,1251791.96
,AR,196,2433845.43,555204.97
,AS,20,51523.14,17227.85
,AZ,78,826634.14,178518.64
,CA,285,2348540.51,478994.12
,CO,239,666442.99,164101.33
,CT,181,2322501.91,178250.5
,DE,81,450426.28,540558.17
,FL,1423,11783347.99,2695634.74
,GA,57,291589.81,46044.4
,GU,11,46614.4,22920.0
,HI,100,618756.29,109292.32
,IA,109,1161836.45,246326.53
,ID,26,114098.38,19597.36
,IL,1725,9315301.12,2237769.69
,IN,232,911792.92,218443.49
,KS,87,376920.26,55746.27
,KY,565,3887794.02,2776948.6
,LA,4472,28207908.75,9144217.98
,MA,304,2483001.64,434559.01
,MD,4577,734767.24,485841.43
,ME,140,995451.25,110380.63
,MI,164,641739.58,173406.11
,MN,178,1336855.19,464332.57
,MO,2220,17078214.08,4553320.16
,MP,5,10323.3,3224.0
,MS,1676,8878093.09,2199182.4
,MT,57,154215.14,12668.96
,NC,863,7763325.27,1303407.93
,ND,247,1500751.3,202373.36
,NE,353,1508188.49,422705.13
,NH,28,49566.31,20777.74
,NJ,560,6895166.92,2519906.06
,NM,10,50548.08,0.0
,NV,21,112176.25,13910.15
,NY,869,6694511.84,1399974.62
,OH,208,1105310.32,299078.76
,OK,123,1724755.2,745967.74
,OR,102,461076.31,56104.52
,PA,1277,6596040.82,2947982.43
,PR,16706,48769936.74,55489670.7
,RI,68,288564.81,129320.08
,SC,325,2716066.76,440424.51
,SD,60,194050.6,18620.59
,TN,86,349433.24,70212.17
,TX,2109,15649808.7,4938506.36
,UN,16458,60542819.82,21317078.74
,UT,75,892626.6,170515.22
,VA,575,6105827.15,2297803.33
,VI,229,5124832.66,1400375.59
,VT,45,1114104.1,2701.75
,WA,149,1212794.53,163485.91
,WI,126,959129.78,349519.73
,WV,708,6193157.62,2064204.73
,WY,13,60006.76,19579.37
