object_id,line_id,line_type,status,owner,voltage_kv,voltage_class,inferred,substation_1,substation_2,naics_desc,shape_length
511,141432,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,138,100-161,Y,STADIUM,TAP151120,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,5349.59410246842
512,141433,AC; OVERHEAD,IN SERVICE,MONONGAHELA POWER CO,138,100-161,Y,UNKNOWN129021,TAP137104,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,4772.08966540071
513,141434,AC; OVERHEAD,IN SERVICE,GEORGIA POWER CO,230,220-287,Y,UNKNOWN112280,HARLLEE BRANCH,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,53823.1571993446
514,141436,AC; OVERHEAD,NOT AVAILABLE,NIAGARA MOHAWK POWER CORP.,115,100-161,Y,HIGLEY,NOT AVAILABLE,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,74.3801489159117
515,107005,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,161,100-161,Y,UNKNOWN129848,TAP138020,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,31154.0435124074
518,141441,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,115,100-161,Y,TAP140848,TAP140849,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,21.1440777062317
519,141442,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,230,220-287,Y,UNKNOWN120416,11TH AVENUE,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,8768.53161521915
520,141430,OVERHEAD,NOT AVAILABLE,TENNESSEE VALLEY AUTHORITY,161,100-161,Y,BULL RUN,NOT AVAILABLE,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,321.390498970386
521,141485,AC; OVERHEAD,NOT AVAILABLE,GEORGIA POWER CO,230,220-287,N,CARTERS,NOT AVAILABLE,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,304.093954407587
522,141444,AC; OVERHEAD,IN SERVICE,OKLAHOMA GAS & ELECTRIC CO,138,100-161,Y,UNKNOWN118761,TAP149056,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,14833.117330645
523,141446,AC; OVERHEAD,IN SERVICE,GEORGIA POWER CO,115,100-161,Y,UNKNOWN116348,TAP142236,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,958.298400739708
525,141447,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,138,100-161,Y,UNKNOWN113914,PORT UNION SUBSTATION,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,10866.2455533852
526,141448,AC; OVERHEAD,IN SERVICE,NIAGARA MOHAWK POWER CORP.,115,100-161,Y,TAP139797,PACKARD,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,5073.38784032776
527,110868,AC; OVERHEAD,IN SERVICE,VIRGINIA ELECTRIC & POWER CO,115,100-161,N,TAP148227,TAP148229,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,13769.6759636824
528,141452,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,115,100-161,N,TAP135057,LITTLE FALLS,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,24859.82435128
529,141453,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,230,220-287,Y,TAP147395,DURHAM,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,17724.7238380384
532,141457,AC; OVERHEAD,IN SERVICE,GEORGIA POWER CO,115,100-161,Y,UNKNOWN111599,TAP143132,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,3938.61027829544
533,141458,AC; OVERHEAD,IN SERVICE,FITCHBURG GAS AND ELECTRIC LIGHT COMPANY,115,100-161,Y,PAXTON,TAP140740,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,16978.2990329519
534,141459,AC; OVERHEAD,IN SERVICE,OHIO POWER CO,138,100-161,Y,TAP137817,POSTON,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,51878.9997135276
536,141461,AC; OVERHEAD,IN SERVICE,OHIO POWER CO,138,100-161,Y,UNKNOWN113884,NEWCOMERSTOWN,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,31455.9621606296
537,141462,AC; OVERHEAD,IN SERVICE,APPALACHIAN POWER CO,138,100-161,Y,TRISTATE,CEREDO GENERATING STATION,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,4518.55598017239
538,141468,AC; OVERHEAD,IN SERVICE,PUBLIC SERVICE CO OF OKLAHOMA,138,100-161,Y,UNKNOWN118374,TAP148931,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,6891.2732769066
539,141469,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,230,220-287,N,SARNO,MALABAR,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,11034.5387384901
541,141463,AC; OVERHEAD,IN SERVICE,POTOMAC ELECTRIC POWER CO,115,100-161,Y,BENNING (69KV),BENNING (230KV),ELECTRIC BULK POWER TRANSMISSION AND CONTROL,429.935296830827
543,141472,AC; OVERHEAD,IN SERVICE,ENTERGY MISSISSIPPI INC,230,220-287,Y,UNKNOWN109674,SOUTH JACKSON,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,5056.3528262697
544,141473,AC; OVERHEAD,IN SERVICE,TENNESSEE VALLEY AUTHORITY,161,100-161,Y,FORT LOUDON DAM,TAP152044,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,21698.2747281385
545,141474,AC; OVERHEAD,IN SERVICE,DUQUESNE LIGHT CO,138,100-161,Y,UNKNOWN124798,UNKNOWN124821,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,10518.4878689569
547,141465,OVERHEAD,NOT AVAILABLE,"DUKE ENERGY INDIANA, LLC",138,100-161,Y,ANDERSON,NOT AVAILABLE,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,105.912885134099
548,141516,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,115,100-161,Y,PLATTE,NOT AVAILABLE,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,262.676003725502
549,141478,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,138,100-161,Y,UNKNOWN118482,UNKNOWN118487,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,22220.1760625817
550,141479,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,115,100-161,Y,UNKNOWN133649,AGAWAM,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,16177.0789035819
551,128970,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,138,100-161,Y,JUDICE,MAURICE,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,7356.58113411606
552,141482,AC; OVERHEAD,IN SERVICE,FLORIDA POWER & LIGHT CO,230,220-287,N,UNKNOWN108644,CONSERVATION,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,21569.3546031771
553,141486,AC; OVERHEAD,IN SERVICE,NSTAR ELECTRIC COMPANY,115,100-161,Y,UNKNOWN133456,UNKNOWN133717,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,8712.87680026906
554,141488,AC; OVERHEAD,IN SERVICE,PROGRESS ENERGY CAROLINAS INC,115,100-161,Y,UNKNOWN112204,TAP147983,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,109.283127613957
555,141490,AC; OVERHEAD,IN SERVICE,"DUKE ENERGY CAROLINAS, LLC",100,100-161,Y,UNKNOWN110750,TAP150308,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,1308.23633458058
556,141491,AC; OVERHEAD,IN SERVICE,GULF POWER CO,230,220-287,N,SHAKY JOE SWAMP TAP,SHOAL RIVER,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,83768.354052696
557,141494,AC; OVERHEAD,IN SERVICE,METROPOLITAN EDISON CO,230,220-287,Y,UNKNOWN123852,IRONWOOD LLC,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,11123.2707459872
558,141495,AC; OVERHEAD,IN SERVICE,INDIANA MICHIGAN POWER CO,765,735 AND ABOVE,N,COOK,DUMONT,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,77521.4996284534
559,141496,AC; OVERHEAD,IN SERVICE,COMMONWEALTH EDISON CO,138,100-161,Y,TAP137876,TAP137879,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,8552.91568004415
560,141498,AC; OVERHEAD,IN SERVICE,PROGRESS ENERGY CAROLINAS INC,115,100-161,Y,TAP147200,TAP147201,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,1726.03042959533
562,137882,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,138,100-161,Y,UNKNOWN116078,JUDICE,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,20174.4989196151
563,141489,AC; OVERHEAD,IN SERVICE,BALTIMORE GAS & ELECTRIC CO,115,100-161,N,WAGNER,TAP139156,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,4854.10164825331
564,101161,AC; OVERHEAD,IN SERVICE,NIAGARA MOHAWK POWER CORP.,115,100-161,Y,TAP135870,PATROON,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,3448.01709986757
565,141503,AC; OVERHEAD,IN SERVICE,GEORGIA POWER CO,115,100-161,Y,UNKNOWN113551,UNKNOWN113552,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,18827.9275395448
566,139598,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,138,100-161,Y,UNKNOWN112475,MOUTON,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,9089.13478671373
567,141506,AC; OVERHEAD,NOT AVAILABLE,NIAGARA MOHAWK POWER CORP.,115,100-161,Y,UNIONVILLE HYDRO PROJECT 2499 NY,NOT AVAILABLE,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,32.0958943188721
568,141507,AC; OVERHEAD,IN SERVICE,FLORIDA POWER & LIGHT CO,138,100-161,Y,HILLCREST,NORTON,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,3818.19134219387
569,141508,AC; OVERHEAD,IN SERVICE,WESTAR ENERGY INC,115,100-161,N,UNKNOWN118093,TAP138818,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,165.672810861426
570,141510,AC; OVERHEAD,IN SERVICE,MONONGAHELA POWER CO,138,100-161,Y,UNKNOWN129023,TAP138752,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,144.981703045908
572,115931,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,138,100-161,Y,UNKNOWN112475,UNKNOWN112596,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,10724.2170155045
