plant_name,capacity_factor,annual_gen_gwh,co2_emissions_tons_yr,co2_per_gen,majority_owner,fuel_type,table_source,Former Fuel Type,New Fuel Type,Conversion Date,lat,lon,state_abbr,retired_date,capacity_mw
Armstrong,,,,,FirstEnergy,Bituminous coal,table_2,,,,40.92917,-79.46639,PA,2012-09-01,356.0
Asbury,,,,,Empire District Electric Company,,table_2,,,,37.36139,-94.58917,MO,,232.0
Birchwood,,77 (2020),"65,032 (2019)",1355 (2019),J-POWER General Electric,Bituminous coal,table_2,,,,38.265423,-77.314233,VA,,258.0
Boardman,,,,,Portland General Electric,,table_2,,,,45.69333,-119.80694,OR,,550.0
Brayton Point [note 1],,,,,PG&E (1963-2005) Dominion Energy New England (2005-2013) Energy Capital Partners (2013-2015) Dynegy (2015-present),Bituminous coal,table_2,,,,41.7125,-71.19389,MA,,1537.6
Bridgeport,,"2,100 (2019)","806,838 (2019)",384 (2019),Public Service Enterprise Group,Sub-bituminous coal,table_2,,,,41.17139,-73.18417,CT,,995.0
Bruce Mansfield,,,,,FirstEnergy,,table_2,,,,40.63444,-80.41694,PA,,2490.0
Bull Run,,641 (2020),"1,337,090 (2019)",862 (2019),Tennessee Valley Authority,Bituminous coal,table_2,,,,36.02111,-84.15611,TN,,889.0
Burlington,,"1,130 (2020)","1,194,481 (2019)",1042 (2019),Interstate Power and Light,Sub-bituminous coal,table_2,,,,40.7412,-91.11667,IA,,212.0
Carbon Power Plant [note 2],,,,,PacifiCorp,Sub-bituminous coal,table_2,,,,39.72722,-110.86417,UT,2015-04-16,190.0
Charles P. Crane,,,,,Avenue Capital Group,Sub-bituminous coal,table_2,,,,39.32361,-76.36639,MD,,400.0
Charles R. Lowman,,,,,PowerSouth Energy Cooperative,Bituminous coal,table_2,,,,31.488167,-87.910477,AL,,538.0
Cheswick,,542 (2020),"896,561 (2019)",1135 (2019),GenOn Energy Holdings,Bituminous coal,table_2,,,,40.53833,-79.79139,PA,,635.0
Dan E. Karn,,"1,654 (2020)","1,934,954 (2019)","1,063 (2019)",CMS Energy,Sub-bituminous coal,table_2,,,,43.642089,-83.838188,MI,,544.0
Dolet Hills,,,,,SWEPCO Cleco Power LLC Northeast Texas Electric Cooperative Inc,Lignite,table_2,,,,32.03222,-93.56944,LA,,720.0
Eckert,,384 (2018) 44 (2019) 5 (2020),"484,156 (2018) 46,403 (2019)",,Lansing Board of Water and Light,Sub-bituminous coal,table_2,,,,42.694957,-84.662078,MI,,375.0
Elk River,,,,,Great River Energy,Sub-bituminous coal Oil Refuse Derived Fuel[note 3],table_2,,,,45.295172,-93.5567,MN,,
