county_name,median_household_income,housing_units,state_fips,county_fips,geoid,state_name,state_abbr
Autauga County,68315.0,24457,01,001,01001,Alabama,AL
Baldwin County,71039.0,125113,01,003,01003,Alabama,AL
Barbour County,39712.0,11673,01,005,01005,Alabama,AL
Bibb County,50669.0,9046,01,007,01007,Alabama,AL
Blount County,57440.0,24677,01,009,01009,Alabama,AL
Bullock County,36136.0,4541,01,011,01011,Alabama,AL
Butler County,44429.0,9835,01,013,01013,Alabama,AL
Calhoun County,54339.0,53167,01,015,01015,Alabama,AL
Chambers County,48805.0,16427,01,017,01017,Alabama,AL
Cherokee County,46621.0,14687,01,019,01019,Alabama,AL
Chilton County,62471.0,19546,01,021,01021,Alabama,AL
Choctaw County,43299.0,7138,01,023,01023,Alabama,AL
Clarke County,47549.0,11733,01,025,01025,Alabama,AL
Clay County,48074.0,7040,01,027,01027,Alabama,AL
Cleburne County,51553.0,6818,01,029,01029,Alabama,AL
Coffee County,62199.0,24155,01,031,01031,Alabama,AL
Colbert County,56149.0,27709,01,033,01033,Alabama,AL
Conecuh County,39888.0,6451,01,035,01035,Alabama,AL
Coosa County,52279.0,6045,01,037,01037,Alabama,AL
Covington County,48772.0,18644,01,039,01039,Alabama,AL
Crenshaw County,48557.0,6553,01,041,01041,Alabama,AL
Cullman County,58119.0,39182,01,043,01043,Alabama,AL
Dale County,52813.0,22829,01,045,01045,Alabama,AL
Dallas County,37180.0,18992,01,047,01047,Alabama,AL
DeKalb County,47920.0,30716,01,049,01049,Alabama,AL
Elmore County,73258.0,36787,01,051,01051,Alabama,AL
Escambia County,41153.0,16715,01,053,01053,Alabama,AL
Etowah County,52177.0,47412,01,055,01055,Alabama,AL
Fayette County,45650.0,7816,01,057,01057,Alabama,AL
Franklin County,47359.0,13940,01,059,01059,Alabama,AL
Geneva County,47608.0,12494,01,061,01061,Alabama,AL
Greene County,32796.0,4271,01,063,01063,Alabama,AL
Hale County,35851.0,7464,01,065,01065,Alabama,AL
Henry County,58395.0,9110,01,067,01067,Alabama,AL
Houston County,55064.0,49339,01,069,01069,Alabama,AL
