geoid,coal_plant_count,coal_capacity_mw,has_operating_coal,has_retired_coal,has_coal_plant
01033,1,1350.0,False,True,True
01071,1,1968.6,False,True,True
01073,1,2822.0,True,False,True
01097,1,1464.5,True,True,True
01117,1,952.0,True,False,True
01121,1,25.0,False,True,True
01127,1,1416.7,False,True,True
01129,1,538.0,False,True,True
02068,1,90.0,True,False,True
02090,4,106.5,True,True,True
04001,2,2587.6,True,False,True
04003,1,204.0,True,False,True
04005,1,2409.3,False,True,True
04017,1,1128.8,True,True,True
05007,1,558.0,True,False,True
05057,1,609.0,True,False,True
05063,1,1800.0,True,False,True
05069,1,1800.0,True,False,True
05093,1,720.0,True,False,True
06071,1,62.5,True,False,True
08001,1,420.5,False,True,True
08013,1,191.7,False,True,True
08031,1,240.5,False,True,True
08041,2,332.0,True,True,True
08043,1,43.7,False,True,True
08069,1,293.6,True,False,True
08071,1,3.7,False,True,True
08077,1,75.0,False,True,True
08081,1,1427.6,True,False,True
08085,1,113.8,False,True,True
08087,1,552.3,True,False,True
08099,1,43.5,False,True,True
08101,1,1635.3,True,True,True
08107,1,465.4,True,False,True
09001,1,400.0,False,True,True
10005,2,795.5,True,True,True
12005,1,340.0,False,True,True
12017,1,2442.7,True,True,True
12031,2,1953.0,True,True,True
12057,2,1548.5,True,True,True
12063,1,98.0,False,True,True
12085,1,395.4,False,True,True
12089,1,9.3,False,True,True
12095,1,929.0,True,False,True
12105,1,363.8,False,True,True
12107,1,1429.2,True,False,True
13015,1,3498.6,True,False,True
13021,1,89.2,False,True,True
13051,2,245.4,False,True,True
13067,1,598.4,False,True,True
13077,1,679.9,False,True,True
13095,1,218.2,False,True,True
13103,1,177.6,False,True,True
13115,1,953.0,False,True,True
13149,1,1904.0,False,True,True
13207,1,3564.0,True,True,True
13237,1,1746.2,False,True,True
15003,1,203.0,False,True,True
17021,1,1319.0,True,False,True
17031,2,971.4000000000001,False,True,True
17057,1,441.0,False,True,True
17077,1,3.5,True,False,True
17079,1,1234.8,True,True,True
17097,1,802.7,False,True,True
17115,1,335.0,True,False,True
17119,1,500.1,False,True,True
17125,1,488.0,False,True,True
17127,1,1099.8000000000002,False,True,True
17135,1,1005.4,False,True,True
17143,2,795.3,False,True,True
17149,1,22.0,False,True,True
17155,1,306.3,False,True,True
17157,1,1894.1,True,True,True
17163,1,1766.0,True,False,True
17167,2,692.8,True,True,True
17179,1,1785.6,True,False,True
17183,1,182.3,False,True,True
17197,1,1268.8,False,True,True
17199,1,272.0,True,True,True
18029,1,1100.1,False,True,True
18043,1,600.0,False,True,True
18051,1,3339.5,True,False,True
18073,1,1943.4,True,True,True
18077,1,1303.8000000000002,True,False,True
18083,1,109.2,False,True,True
18089,2,518.5,False,True,True
18091,1,540.0,True,False,True
18103,1,34.5,False,True,True
18107,1,24.1,True,True,True
18109,1,301.6,False,True,True
18125,2,2379.9,True,True,True
18127,1,603.5,False,True,True
18129,2,535.9,True,True,True
18147,1,2600.0,True,False,True
18153,1,1080.0,True,False,True
18165,1,1062.0,True,False,True
18167,1,860.2,False,True,True
18173,2,1237.6999999999998,True,True,True
18177,1,93.9,True,False,True
19005,1,338.5,True,True,True
19045,1,211.4,True,True,True
19061,2,29.0,False,True,True
19113,3,428.4,True,True,True
19115,1,811.9,True,False,True
19125,1,38.0,False,True,True
19127,1,37.5,False,True,True
19139,2,356.0,True,True,True
19153,1,7.9,True,False,True
19155,1,1778.8999999999999,True,True,True
19163,1,5.0,False,True,True
19169,1,3.0,False,True,True
19179,1,725.9,True,False,True
19193,2,1776.2,True,True,True
20045,1,604.0,True,True,True
20055,1,348.7,True,False,True
20107,1,1598.9,True,False,True
20149,1,2160.0,True,False,True
20177,1,232.0,False,True,True
20209,1,261.0,True,False,True
21013,1,37.5,False,True,True
21015,1,772.0,True,False,True
21041,1,2225.9,True,False,True
