geo_id,location_factor,est_capex_per_kw,est_total_capex
40075,0.97,8667.92,4160601600.0
46079,0.99,8846.64,4246387199.9999995
37033,0.99,8846.64,4246387199.9999995
48377,0.95,8489.199999999999,4074815999.9999995
39057,0.99,8846.64,4246387199.9999995
35028,1.03,9204.08,4417958400.0
20041,0.99,8846.64,4246387199.9999995
48427,0.95,8489.199999999999,4074815999.9999995
40129,0.97,8667.92,4160601600.0
55103,1.03,9204.08,4417958400.0
35025,1.03,9204.08,4417958400.0
47117,1.02,9114.72,4375065600.0
51011,1.0,8936.0,4289280000.0
05087,1.0,8936.0,4289280000.0
22089,1.02,9114.72,4375065600.0
47063,1.02,9114.72,4375065600.0
48009,0.95,8489.199999999999,4074815999.9999995
48023,0.95,8489.199999999999,4074815999.9999995
48405,0.95,8489.199999999999,4074815999.9999995
13249,1.02,9114.72,4375065600.0
48313,0.95,8489.199999999999,4074815999.9999995
28159,0.97,8667.92,4160601600.0
21103,1.01,9025.36,4332172800.0
21167,1.01,9025.36,4332172800.0
31183,0.99,8846.64,4246387199.9999995
21135,1.01,9025.36,4332172800.0
27051,1.05,9382.800000000001,4503744000.000001
01025,0.99,8846.64,4246387199.9999995
19099,1.005,8980.679999999998,4310726399.999999
28153,0.97,8667.92,4160601600.0
48101,0.95,8489.199999999999,4074815999.9999995
51081,1.0,8936.0,4289280000.0
48503,0.95,8489.199999999999,4074815999.9999995
01123,0.99,8846.64,4246387199.9999995
33015,1.04,9293.44,4460851200.0
08105,0.98,8757.28,4203494400.0000005
19149,1.005,8980.679999999998,4310726399.999999
36123,1.17,10455.119999999999,5018457599.999999
41017,1.09,9740.240000000002,4675315200.000001
19155,1.005,8980.679999999998,4310726399.999999
29043,1.065,9516.84,4568083200.0
28073,0.97,8667.92,4160601600.0
18137,1.01,9025.36,4332172800.0
38057,1.01,9025.36,4332172800.0
13147,1.02,9114.72,4375065600.0
22049,1.02,9114.72,4375065600.0
51133,1.0,8936.0,4289280000.0
55047,1.03,9204.08,4417958400.0
30073,0.99,8846.64,4246387199.9999995
55127,1.03,9204.08,4417958400.0
18067,1.01,9025.36,4332172800.0
18125,1.01,9025.36,4332172800.0
26045,1.035,9248.759999999998,4439404799.999999
19179,1.005,8980.679999999998,4310726399.999999
26027,1.035,9248.759999999998,4439404799.999999
48035,0.95,8489.199999999999,4074815999.9999995
44005,1.09,9740.240000000002,4675315200.000001
39045,0.99,8846.64,4246387199.9999995
17015,1.18,10544.48,5061350400.0
27125,1.05,9382.800000000001,4503744000.000001
41031,1.09,9740.240000000002,4675315200.000001
30055,0.99,8846.64,4246387199.9999995
19019,1.005,8980.679999999998,4310726399.999999
17043,1.18,10544.48,5061350400.0
46047,0.99,8846.64,4246387199.9999995
13219,1.02,9114.72,4375065600.0
48493,0.95,8489.199999999999,4074815999.9999995
31059,0.99,8846.64,4246387199.9999995
18153,1.01,9025.36,4332172800.0
13027,1.02,9114.72,4375065600.0
20185,0.99,8846.64,4246387199.9999995
13271,1.02,9114.72,4375065600.0
26115,1.035,9248.759999999998,4439404799.999999
18181,1.01,9025.36,4332172800.0
18113,1.01,9025.36,4332172800.0
46017,0.99,8846.64,4246387199.9999995
46095,0.99,8846.64,4246387199.9999995
48135,0.95,8489.199999999999,4074815999.9999995
48293,0.95,8489.199999999999,4074815999.9999995
54003,1.01,9025.36,4332172800.0
45021,1.02,9114.72,4375065600.0
37199,0.99,8846.64,4246387199.9999995
48387,0.95,8489.199999999999,4074815999.9999995
27149,1.05,9382.800000000001,4503744000.000001
13301,1.02,9114.72,4375065600.0
48197,0.95,8489.199999999999,4074815999.9999995
13165,1.02,9114.72,4375065600.0
21085,1.01,9025.36,4332172800.0
48363,0.95,8489.199999999999,4074815999.9999995
13149,1.02,9114.72,4375065600.0
01079,0.99,8846.64,4246387199.9999995
20025,0.99,8846.64,4246387199.9999995
20081,0.99,8846.64,4246387199.9999995
22013,1.02,9114.72,4375065600.0
27167,1.05,9382.800000000001,4503744000.000001
23011,1.02,9114.72,4375065600.0
51173,1.0,8936.0,4289280000.0
35041,1.03,9204.08,4417958400.0
42111,1.085,9695.56,4653868800.0
51191,1.0,8936.0,4289280000.0
37081,0.99,8846.64,4246387199.9999995
40039,0.97,8667.92,4160601600.0
39101,0.99,8846.64,4246387199.9999995
17149,1.18,10544.48,5061350400.0
17203,1.18,10544.48,5061350400.0
18167,1.01,9025.36,4332172800.0
18039,1.01,9025.36,4332172800.0
51077,1.0,8936.0,4289280000.0
48303,0.95,8489.199999999999,4074815999.9999995
27093,1.05,9382.800000000001,4503744000.000001
18135,1.01,9025.36,4332172800.0
27113,1.05,9382.800000000001,4503744000.000001
41021,1.09,9740.240000000002,4675315200.000001
05009,1.0,8936.0,4289280000.0
48253,0.95,8489.199999999999,4074815999.9999995
48185,0.95,8489.199999999999,4074815999.9999995
26049,1.035,9248.759999999998,4439404799.999999
28041,0.97,8667.92,4160601600.0
29059,1.065,9516.84,4568083200.0
51143,1.0,8936.0,4289280000.0
20145,0.99,8846.64,4246387199.9999995
20209,0.99,8846.64,4246387199.9999995
26157,1.035,9248.759999999998,4439404799.999999
20065,0.99,8846.64,4246387199.9999995
47055,1.02,9114.72,4375065600.0
39095,0.99,8846.64,4246387199.9999995
21213,1.01,9025.36,4332172800.0
50013,1.08,9650.880000000001,4632422400.000001
39029,0.99,8846.64,4246387199.9999995
51125,1.0,8936.0,4289280000.0
18033,1.01,9025.36,4332172800.0
29197,1.065,9516.84,4568083200.0
01059,0.99,8846.64,4246387199.9999995
21041,1.01,9025.36,4332172800.0
48267,0.95,8489.199999999999,4074815999.9999995
46027,0.99,8846.64,4246387199.9999995
10005,1.07,9561.52,4589529600.0
13159,1.02,9114.72,4375065600.0
29175,1.065,9516.84,4568083200.0
20015,0.99,8846.64,4246387199.9999995
48209,0.95,8489.199999999999,4074815999.9999995
48297,0.95,8489.199999999999,4074815999.9999995
31091,0.99,8846.64,4246387199.9999995
51147,1.0,8936.0,4289280000.0
42017,1.085,9695.56,4653868800.0
42081,1.085,9695.56,4653868800.0
16057,1.02,9114.72,4375065600.0
51640,1.0,8936.0,4289280000.0
35037,1.03,9204.08,4417958400.0
48269,0.95,8489.199999999999,4074815999.9999995
05073,1.0,8936.0,4289280000.0
48451,0.95,8489.199999999999,4074815999.9999995
21031,1.01,9025.36,4332172800.0
56005,0.99,8846.64,4246387199.9999995
13211,1.02,9114.72,4375065600.0
78030,,,
19061,1.005,8980.679999999998,4310726399.999999
51075,1.0,8936.0,4289280000.0
20181,0.99,8846.64,4246387199.9999995
39139,0.99,8846.64,4246387199.9999995
17001,1.18,10544.48,5061350400.0
39021,0.99,8846.64,4246387199.9999995
33019,1.04,9293.44,4460851200.0
17075,1.18,10544.48,5061350400.0
19157,1.005,8980.679999999998,4310726399.999999
39169,0.99,8846.64,4246387199.9999995
13113,1.02,9114.72,4375065600.0
13141,1.02,9114.72,4375065600.0
48259,0.95,8489.199999999999,4074815999.9999995
51137,1.0,8936.0,4289280000.0
13277,1.02,9114.72,4375065600.0
31025,0.99,8846.64,4246387199.9999995
56009,0.99,8846.64,4246387199.9999995
26053,1.035,9248.759999999998,4439404799.999999
27005,1.05,9382.800000000001,4503744000.000001
01095,0.99,8846.64,4246387199.9999995
20179,0.99,8846.64,4246387199.9999995
28037,0.97,8667.92,4160601600.0
19015,1.005,8980.679999999998,4310726399.999999
48373,0.95,8489.199999999999,4074815999.9999995
31051,0.99,8846.64,4246387199.9999995
45037,1.02,9114.72,4375065600.0
54057,1.01,9025.36,4332172800.0
55003,1.03,9204.08,4417958400.0
17053,1.18,10544.48,5061350400.0
22035,1.02,9114.72,4375065600.0
22037,1.02,9114.72,4375065600.0
02198,,,
48153,0.95,8489.199999999999,4074815999.9999995
21151,1.01,9025.36,4332172800.0
51025,1.0,8936.0,4289280000.0
51149,1.0,8936.0,4289280000.0
23023,1.02,9114.72,4375065600.0
30097,0.99,8846.64,4246387199.9999995
48181,0.95,8489.199999999999,4074815999.9999995
42059,1.085,9695.56,4653868800.0
20051,0.99,8846.64,4246387199.9999995
01105,0.99,8846.64,4246387199.9999995
20151,0.99,8846.64,4246387199.9999995
21017,1.01,9025.36,4332172800.0
47149,1.02,9114.72,4375065600.0
20101,0.99,8846.64,4246387199.9999995
40059,0.97,8667.92,4160601600.0
17147,1.18,10544.48,5061350400.0
48107,0.95,8489.199999999999,4074815999.9999995
08009,0.98,8757.28,4203494400.0000005
16021,1.02,9114.72,4375065600.0
39159,0.99,8846.64,4246387199.9999995
39035,0.99,8846.64,4246387199.9999995
48285,0.95,8489.199999999999,4074815999.9999995
40105,0.97,8667.92,4160601600.0
13125,1.02,9114.72,4375065600.0
41059,1.09,9740.240000000002,4675315200.000001
46102,0.99,8846.64,4246387199.9999995
18035,1.01,9025.36,4332172800.0
13315,1.02,9114.72,4375065600.0
22081,1.02,9114.72,4375065600.0
23017,1.02,9114.72,4375065600.0
25021,1.15,10276.4,4932672000.0
18063,1.01,9025.36,4332172800.0
38041,1.01,9025.36,4332172800.0
55011,1.03,9204.08,4417958400.0
51069,1.0,8936.0,4289280000.0
54041,1.01,9025.36,4332172800.0
27119,1.05,9382.800000000001,4503744000.000001
27127,1.05,9382.800000000001,4503744000.000001
60040,,,
23031,1.02,9114.72,4375065600.0
13231,1.02,9114.72,4375065600.0
13259,1.02,9114.72,4375065600.0
34025,1.15,10276.4,4932672000.0
40041,0.97,8667.92,4160601600.0
19107,1.005,8980.679999999998,4310726399.999999
13285,1.02,9114.72,4375065600.0
47043,1.02,9114.72,4375065600.0
54081,1.01,9025.36,4332172800.0
35005,1.03,9204.08,4417958400.0
35049,1.03,9204.08,4417958400.0
04023,1.01,9025.36,4332172800.0
31181,0.99,8846.64,4246387199.9999995
17067,1.18,10544.48,5061350400.0
46067,0.99,8846.64,4246387199.9999995
41013,1.09,9740.240000000002,4675315200.000001
50011,1.08,9650.880000000001,4632422400.000001
26103,1.035,9248.759999999998,4439404799.999999
37057,0.99,8846.64,4246387199.9999995
29103,1.065,9516.84,4568083200.0
42117,1.085,9695.56,4653868800.0
31043,0.99,8846.64,4246387199.9999995
26089,1.035,9248.759999999998,4439404799.999999
51181,1.0,8936.0,4289280000.0
29135,1.065,9516.84,4568083200.0
51193,1.0,8936.0,4289280000.0
37197,0.99,8846.64,4246387199.9999995
40043,0.97,8667.92,4160601600.0
37191,0.99,8846.64,4246387199.9999995
42123,1.085,9695.56,4653868800.0
05061,1.0,8936.0,4289280000.0
37059,0.99,8846.64,4246387199.9999995
37111,0.99,8846.64,4246387199.9999995
05099,1.0,8936.0,4289280000.0
08125,0.98,8757.28,4203494400.0000005
48421,0.95,8489.199999999999,4074815999.9999995
48463,0.95,8489.199999999999,4074815999.9999995
39011,0.99,8846.64,4246387199.9999995
19063,1.005,8980.679999999998,4310726399.999999
21153,1.01,9025.36,4332172800.0
48017,0.95,8489.199999999999,4074815999.9999995
29027,1.065,9516.84,4568083200.0
56001,0.99,8846.64,4246387199.9999995
42093,1.085,9695.56,4653868800.0
36081,1.17,10455.119999999999,5018457599.999999
12121,0.975,8712.6,4182048000.0
01111,0.99,8846.64,4246387199.9999995
37009,0.99,8846.64,4246387199.9999995
39089,0.99,8846.64,4246387199.9999995
51683,1.0,8936.0,4289280000.0
17071,1.18,10544.48,5061350400.0
08005,0.98,8757.28,4203494400.0000005
21155,1.01,9025.36,4332172800.0
28105,0.97,8667.92,4160601600.0
24023,1.02,9114.72,4375065600.0
26059,1.035,9248.759999999998,4439404799.999999
21141,1.01,9025.36,4332172800.0
33013,1.04,9293.44,4460851200.0
42133,1.085,9695.56,4653868800.0
37161,0.99,8846.64,4246387199.9999995
01043,0.99,8846.64,4246387199.9999995
13097,1.02,9114.72,4375065600.0
31097,0.99,8846.64,4246387199.9999995
46075,0.99,8846.64,4246387199.9999995
39073,0.99,8846.64,4246387199.9999995
01085,0.99,8846.64,4246387199.9999995
13043,1.02,9114.72,4375065600.0
19113,1.005,8980.679999999998,4310726399.999999
20005,0.99,8846.64,4246387199.9999995
17041,1.18,10544.48,5061350400.0
66010,,,
55137,1.03,9204.08,4417958400.0
29131,1.065,9516.84,4568083200.0
37193,0.99,8846.64,4246387199.9999995
02110,,,
13087,1.02,9114.72,4375065600.0
18177,1.01,9025.36,4332172800.0
21009,1.01,9025.36,4332172800.0
31093,0.99,8846.64,4246387199.9999995
38025,1.01,9025.36,4332172800.0
06005,1.16,10365.759999999998,4975564799.999999
47049,1.02,9114.72,4375065600.0
26023,1.035,9248.759999999998,4439404799.999999
31139,0.99,8846.64,4246387199.9999995
13023,1.02,9114.72,4375065600.0
13033,1.02,9114.72,4375065600.0
17091,1.18,10544.48,5061350400.0
31141,0.99,8846.64,4246387199.9999995
37185,0.99,8846.64,4246387199.9999995
13197,1.02,9114.72,4375065600.0
51061,1.0,8936.0,4289280000.0
51750,1.0,8936.0,4289280000.0
18139,1.01,9025.36,4332172800.0
55131,1.03,9204.08,4417958400.0
29105,1.065,9516.84,4568083200.0
42085,1.085,9695.56,4653868800.0
55065,1.03,9204.08,4417958400.0
54077,1.01,9025.36,4332172800.0
69100,,,
55135,1.03,9204.08,4417958400.0
48137,0.95,8489.199999999999,4074815999.9999995
29153,1.065,9516.84,4568083200.0
19059,1.005,8980.679999999998,4310726399.999999
21095,1.01,9025.36,4332172800.0
20061,0.99,8846.64,4246387199.9999995
42011,1.085,9695.56,4653868800.0
27083,1.05,9382.800000000001,4503744000.000001
51037,1.0,8936.0,4289280000.0
47179,1.02,9114.72,4375065600.0
45071,1.02,9114.72,4375065600.0
51093,1.0,8936.0,4289280000.0
41069,1.09,9740.240000000002,4675315200.000001
51111,1.0,8936.0,4289280000.0
38097,1.01,9025.36,4332172800.0
13139,1.02,9114.72,4375065600.0
13283,1.02,9114.72,4375065600.0
13037,1.02,9114.72,4375065600.0
55125,1.03,9204.08,4417958400.0
13055,1.02,9114.72,4375065600.0
37103,0.99,8846.64,4246387199.9999995
29199,1.065,9516.84,4568083200.0
20131,0.99,8846.64,4246387199.9999995
20137,0.99,8846.64,4246387199.9999995
40093,0.97,8667.92,4160601600.0
53051,1.08,9650.880000000001,4632422400.000001
19197,1.005,8980.679999999998,4310726399.999999
48419,0.95,8489.199999999999,4074815999.9999995
29055,1.065,9516.84,4568083200.0
56033,0.99,8846.64,4246387199.9999995
42041,1.085,9695.56,4653868800.0
42055,1.085,9695.56,4653868800.0
42079,1.085,9695.56,4653868800.0
01113,0.99,8846.64,4246387199.9999995
39019,0.99,8846.64,4246387199.9999995
48191,0.95,8489.199999999999,4074815999.9999995
35057,1.03,9204.08,4417958400.0
48221,0.95,8489.199999999999,4074815999.9999995
29045,1.065,9516.84,4568083200.0
21015,1.01,9025.36,4332172800.0
21229,1.01,9025.36,4332172800.0
22009,1.02,9114.72,4375065600.0
29227,1.065,9516.84,4568083200.0
31163,0.99,8846.64,4246387199.9999995
46063,0.99,8846.64,4246387199.9999995
26057,1.035,9248.759999999998,4439404799.999999
19175,1.005,8980.679999999998,4310726399.999999
27043,1.05,9382.800000000001,4503744000.000001
48161,0.95,8489.199999999999,4074815999.9999995
42087,1.085,9695.56,4653868800.0
01041,0.99,8846.64,4246387199.9999995
51520,1.0,8936.0,4289280000.0
48399,0.95,8489.199999999999,4074815999.9999995
48443,0.95,8489.199999999999,4074815999.9999995
20153,0.99,8846.64,4246387199.9999995
20193,0.99,8846.64,4246387199.9999995
13161,1.02,9114.72,4375065600.0
19035,1.005,8980.679999999998,4310726399.999999
29053,1.065,9516.84,4568083200.0
17197,1.18,10544.48,5061350400.0
48117,0.95,8489.199999999999,4074815999.9999995
46011,0.99,8846.64,4246387199.9999995
19083,1.005,8980.679999999998,4310726399.999999
39027,0.99,8846.64,4246387199.9999995
39093,0.99,8846.64,4246387199.9999995
47101,1.02,9114.72,4375065600.0
51103,1.0,8936.0,4289280000.0
