,GEOID,NAMELSAD
0,40075,Kiowa County
1,46079,Lake County
2,37033,Caswell County
3,48377,Presidio County
4,39057,Greene County
5,48489,Willacy County
6,72021,Bayamón Municipio
7,35028,Los Alamos County
8,40023,Choctaw County
9,20041,Dickinson County
10,48427,Starr County
11,13103,Effingham County
12,40129,Roger Mills County
13,55103,Richland County
14,35025,Lea County
15,01075,Lamar County
16,72054,Florida Municipio
17,47117,Marshall County
18,51011,Appomattox County
19,05087,Madison County
20,22089,St. Charles Parish
21,05111,Poinsett County
22,12045,Gulf County
23,47063,Hamblen County
24,21007,Ballard County
25,48009,Archer County
26,48023,Baylor County
27,48405,San Augustine County
28,32029,Storey County
29,13249,Schley County
30,48313,Madison County
31,06077,San Joaquin County
32,28159,Winston County
33,21103,Henry County
34,21167,Mercer County
35,31183,Wheeler County
36,21135,Lewis County
37,27051,Grant County
38,28053,Humphreys County
39,01025,Clarke County
40,20017,Chase County
41,21221,Trigg County
42,19099,Jasper County
43,28153,Wayne County
44,48101,Cottle County
45,51081,Greensville County
46,12105,Polk County
47,48503,Young County
48,01123,Tallapoosa County
49,33015,Rockingham County
50,08105,Rio Grande County
51,19149,Plymouth County
52,36123,Yates County
53,53033,King County
54,41017,Deschutes County
55,19155,Pottawattamie County
56,29043,Christian County
57,72039,Ciales Municipio
58,28073,Lamar County
59,18137,Ripley County
60,38057,Mercer County
61,13147,Hart County
62,22049,Jackson Parish
63,51133,Northumberland County
64,48157,Fort Bend County
65,55047,Green Lake County
66,30073,Pondera County
67,55127,Walworth County
68,32021,Mineral County
69,18067,Howard County
70,18125,Pike County
71,21047,Christian County
72,26045,Eaton County
73,19179,Wapello County
74,06025,Imperial County
75,26027,Cass County
76,44001,Bristol County
77,48035,Bosque County
78,44005,Newport County
79,39045,Fairfield County
80,38069,Pierce County
81,17015,Carroll County
82,27125,Red Lake County
83,41031,Jefferson County
84,47021,Cheatham County
85,30055,McCone County
86,19019,Buchanan County
87,17043,DuPage County
88,46047,Fall River County
89,27069,Kittson County
90,13219,Oconee County
91,48493,Wilson County
92,31059,Fillmore County
93,12079,Madison County
94,72031,Carolina Municipio
95,18153,Sullivan County
96,04012,La Paz County
97,13027,Brooks County
98,02016,Aleutians West Census Area
99,02150,Kodiak Island Borough
100,20185,Stafford County
101,13271,Telfair County
102,26115,Monroe County
103,18181,White County
104,18113,Noble County
105,13133,Greene County
106,46017,Buffalo County
107,46095,Mellette County
108,48135,Ector County
109,48293,Limestone County
110,53027,Grays Harbor County
111,54003,Berkeley County
112,72149,Villalba Municipio
113,30067,Park County
114,48121,Denton County
115,45021,Cherokee County
116,37199,Yancey County
117,48387,Red River County
118,48321,Matagorda County
119,27149,Stevens County
120,13301,Warren County
121,48197,Hardeman County
122,17133,Monroe County
123,13165,Jenkins County
124,21085,Grayson County
125,48363,Palo Pinto County
126,13149,Heard County
127,01079,Lawrence County
128,72061,Guaynabo Municipio
129,28093,Marshall County
130,20025,Clark County
131,20081,Haskell County
132,22013,Bienville Parish
133,13295,Walker County
134,27167,Wilkin County
135,17157,Randolph County
136,23011,Kennebec County
137,51173,Smyth County
138,35041,Roosevelt County
139,42111,Somerset County
140,51191,Washington County
141,37081,Guilford County
142,16001,Ada County
143,40039,Custer County
144,39101,Marion County
145,17149,Pike County
146,17203,Woodford County
147,13245,Richmond County
148,18167,Vigo County
149,18039,Elkhart County
150,51077,Grayson County
151,48303,Lubbock County
152,27093,Meeker County
153,53037,Kittitas County
154,18135,Randolph County
155,49025,Kane County
156,27113,Pennington County
157,53073,Whatcom County
158,41021,Gilliam County
159,34029,Ocean County
160,05009,Boone County
161,40031,Comanche County
162,48253,Jones County
163,48185,Grimes County
164,26049,Genesee County
165,22007,Assumption Parish
166,28013,Calhoun County
167,28041,Greene County
168,29059,Dallas County
169,51143,Pittsylvania County
170,02068,Denali Borough
171,20145,Pawnee County
172,20209,Wyandotte County
173,12029,Dixie County
174,26157,Tuscola County
175,02240,Southeast Fairbanks Census Area
176,20065,Graham County
177,22097,St. Landry Parish
178,47055,Giles County
179,39095,Lucas County
180,05093,Mississippi County
181,72117,Rincón Municipio
182,28043,Grenada County
183,21213,Simpson County
184,50013,Grand Isle County
185,39029,Columbiana County
186,51125,Nelson County
187,12097,Osceola County
188,05053,Grant County
189,18033,DeKalb County
190,22073,Ouachita Parish
191,22095,St. John the Baptist Parish
192,22091,St. Helena Parish
193,29197,Schuyler County
194,01059,Franklin County
195,21041,Carroll County
196,08019,Clear Creek County
197,48267,Kimble County
198,46027,Clay County
199,10005,Sussex County
200,13159,Jasper County
201,29175,Randolph County
202,20015,Butler County
203,48209,Hays County
