,county_name,geoid,data_centers_count
0,Ada County,16001,2
1,Adams County,08001,1
2,Aiken County,45003,1
3,Alachua County,12001,2
4,Alameda County,06001,5
5,Albany County,36001,3
6,Allegheny County,42003,2
7,Anne Arundel County,24003,1
8,Anoka County,27003,1
9,Arapahoe County,08005,9
10,Baltimore County,24005,1
11,Baltimore city,24510,6
12,Bartholomew County,18005,1
13,Bear Lake County,16007,1
14,Bergen County,34003,1
15,Berkeley County,45015,10
16,Bernalillo County,35001,7
17,Bexar County,48029,30
18,Boone County,29019,1
19,Broomfield County,08014,1
20,Broward County,12011,2
21,Bryan County,40013,1
22,Buffalo County,31019,1
23,Butler County,39017,2
24,Caldwell County,29025,1
25,Calumet County,55015,1
26,Campbell County,56005,1
27,Capitol Planning Region,09110,1
28,Carver County,27019,1
29,Champaign County,17019,1
30,Chelan County,53007,3
31,Clackamas County,41005,1
32,Clark County,32003,22
33,Clark County,39023,1
34,Clay County,29047,2
35,Clearfield County,42033,1
36,Cleveland County,37045,1
37,Cobb County,13067,2
38,Cochise County,04003,1
39,Collin County,48085,13
40,Columbia County,55021,1
41,Contra Costa County,06013,1
42,Cook County,17031,29
43,Crook County,41013,11
44,Culpeper County,51047,1
45,Cumberland County,23005,2
46,Custer County,30017,1
47,Cuyahoga County,39035,5
48,Dakota County,27037,2
49,Dallas County,19049,9
50,Dallas County,48113,25
51,Dane County,55025,2
52,Davidson County,47037,3
53,DeKalb County,17037,3
54,DeSoto County,28033,1
55,Delaware County,39041,1
56,Denton County,48121,2
57,Denver County,08031,3
58,Deschutes County,41017,1
59,Dickey County,38021,1
60,District of Columbia,11001,1
61,Douglas County,08035,2
62,Douglas County,13097,6
63,Douglas County,31055,10
64,Douglas County,53017,13
65,Doña Ana County,35013,1
66,DuPage County,17043,16
67,Dunn County,55033,1
68,Durham County,37063,3
69,Duval County,12031,2
70,East Baton Rouge Parish,22033,1
71,Eaton County,26045,2
72,El Paso County,08041,4
73,Ellis County,20051,1
74,Ellis County,48139,15
75,Erie County,36029,2
76,Erie County,39043,1
77,Essex County,25009,1
78,Essex County,34013,2
79,Fairfax County,51059,25
80,Fairfield County,39045,1
81,Fauquier County,51061,3
82,Fayette County,13113,2
83,Floyd County,21071,1
84,Forsyth County,13117,1
85,Franklin County,39049,32
86,Frederick County,24021,1
87,Frederick County,51069,1
88,Fulton County,13121,16
89,Genesee County,26049,1
90,Gloucester County,34015,1
91,Grainger County,47057,1
92,Granite County,30039,1
93,Grant County,53025,29
94,Greater Bridgeport Planning Region,09120,1
95,Guaynabo Municipio,72061,1
96,Gwinnett County,13135,4
97,Hamilton County,39061,2
98,Hancock County,18059,1
99,Harris County,48201,6
100,Harrisonburg city,51660,1
101,Hennepin County,27053,3
102,Henrico County,51087,6
103,Henry County,47079,1
104,Hillsborough County,12057,3
105,Hood County,48221,1
106,Hopkins County,21107,1
107,Horry County,45051,1
108,Houston County,01069,1
109,Howard County,24027,1
110,Hudson County,34017,13
111,Jackson County,01071,3
112,Jackson County,29095,2
113,Jefferson County,01073,1
114,Jefferson County,21111,2
115,Johnson County,19103,1
116,Johnson County,20091,6
117,Josephine County,41033,1
