geo_id,county_name,total_energy_consumption_mwh,,,
40075,Kiowa County,"157,935",,,
46079,Lake County,170505,,,
37033,Caswell County,"295,896",,,
48377,Presidio County,"106,309",,,
39057,Greene County,"2,239,244",,,
48489,Willacy County,"343,103",,,
72021,Bayamón Municipio,"988,083",,,
35028,Los Alamos County,"282,099",,,
40023,Choctaw County,"265,270",,,
20041,Dickinson County,"264,300",,,
48427,Starr County,"1,104,219",,,
13103,Effingham County,"946,413",,,
40129,Roger Mills County,"64,468",,,
55103,Richland County,"204,452",,,
35025,Lea County,"1,066,233",,,
1075,Lamar County,"243,035",,,
72054,Florida Municipio,"63,804",,,
47117,Marshall County,"503,717",,,
51011,Appomattox County,"257,275",,,
5087,Madison County,"277,933",,,
22089,St. Charles Parish,"1,151,325",,,
5111,Poinsett County,"391,087",,,
12045,Gulf County,"176,525",,,
47063,Hamblen County,"968,068",,,
21007,Ballard County,"129,558",,,
48009,Archer County,"144,747",,,
48023,Baylor County,"58,648",,,
48405,San Augustine County,"133,794",,,
32029,Storey County,"52,024",,,
13249,Schley County,"63,358",,,
48313,Madison County,"228,125",,,
6077,San Joaquin County,"4,986,730",,,
28159,Winston County,"301,982",,,
21103,Henry County,"260,161",,,
21167,Mercer County,"372,559",,,
31183,Wheeler County,"13,482",,,
21135,Lewis County,"217,252",,,
27051,Grant County,"69,358",,,
28053,Humphreys County,"133,951",,,
1025,Clarke County,"407,344",,,
20017,Chase County,"36,759",,,
21221,Trigg County,"233,235",,,
19099,Jasper County,"660,948",,,
28153,Wayne County,"335,452",,,
48101,Cottle County,"26,208",,,
51081,Greensville County,"183,905",,,
12105,Polk County,"9,141,487",,,
48503,Young County,"300,616",,,
1123,Tallapoosa County,"720,329",,,
33015,Rockingham County,"2,533,365",,,
8105,Rio Grande County,"112,294",,,
19149,Plymouth County,"447,980",,,
36123,Yates County,"180,344",,,
53033,King County,"26,422,054",,,
41017,Deschutes County,"2,902,267",,,
19155,Pottawattamie County,"1,634,095",,,
29043,Christian County,"1,194,630",,,
72039,Ciales Municipio,"92,753",,,
28073,Lamar County,"1,113,149",,,
18137,Ripley County,"428,996",,,
38057,Mercer County,"325,643",,,
13147,Hart County,"353,776",,,
22049,Jackson Parish,"334,210",,,
51133,Northumberland County,"191,926",,,
48157,Fort Bend County,"14,937,494",,,
55047,Green Lake County,"223,739",,,
30073,Pondera County,"82,441",,,
55127,Walworth County,"1,241,578",,,
32021,Mineral County,"58,515",,,
18067,Howard County,"1,238,314",,,
18125,Pike County,"181,063",,,
21047,Christian County,"1,210,975",,,
26045,Eaton County,"1,072,601",,,
19179,Wapello County,"619,856",,,
6025,Imperial County,"1,123,501",,,
26027,Cass County,"508,116",,,
44001,Bristol County,"338,162",,,
48035,Bosque County,"307,017",,,
44005,Newport County,"563,789",,,
39045,Fairfield County,"2,165,363",,,
38069,Pierce County,"156,448",,,
17015,Carroll County,"165,939",,,
27125,Red Lake County,"44,988",,,
41031,Jefferson County,"340,489",,,
47021,Cheatham County,"607,241",,,
30055,McCone County,"24,909",,,
19019,Buchanan County,"361,254",,,
17043,DuPage County,"9,804,533",,,
46047,Fall River County,"104,768",,,
27069,Kittson County,"48,339",,,
13219,Oconee County,"562,110",,,
48493,Wilson County,"829,474",,,
31059,Fillmore County,"102,002",,,
12079,Madison County,"209,566",,,
72031,Carolina Municipio,"824,800",,,
18153,Sullivan County,"308,401",,,
4012,La Paz County,"209,015",,,
13027,Brooks County,"222,810",,,
2016,Aleutians West Census Area,"43,236",,,
2150,Kodiak Island Borough,"108,835",,,
20185,Stafford County,"58,433",,,
13271,Telfair County,"176,285",,,
26115,Monroe County,"1,531,364",,,
18181,White County,"364,394",,,
18113,Noble County,"700,739",,,
13133,Greene County,"253,063",,,
46017,Buffalo County,"29,634",,,
46095,Mellette County,"28,763",,,
48135,Ector County,"2,702,570",,,
48293,Limestone County,"373,830",,,
53027,Grays Harbor County,"897,967",,,
54003,Berkeley County,"2,433,977",,,
72149,Villalba Municipio,"121,572",,,
30067,Park County,"235,593",,,
48121,Denton County,"16,418,146",,,
45021,Cherokee County,"905,617",,,
37199,Yancey County,"238,392",,,
48387,Red River County,"196,306",,,
48321,Matagorda County,"610,220",,,
27149,Stevens County,"110,939",,,
13301,Warren County,"71,528",,,
48197,Hardeman County,"59,925",,,
17133,Monroe County,369780,,,
13165,Jenkins County,"119,164",,,
21085,Grayson County,"436,907",,,
48363,Palo Pinto County,"475,485",,,
13149,Heard County,"156,819",,,
1079,Lawrence County,"577,341",,,
72061,Guaynabo Municipio,"484,619",,,
28093,Marshall County,"575,857",,,
20025,Clark County,"28,377",,,
20081,Haskell County,"54,121",,,
22013,Bienville Parish,"288,430",,,
13295,Walker County,"944,686",,,
27167,Wilkin County,"74,522",,,
17157,Randolph County,"326,129",,,
23011,Kennebec County,"1,016,474",,,
51173,Smyth County,"480,576",,,
35041,Roosevelt County,"282,893",,,
42111,Somerset County,"803,262",,,
51191,Washington County,"866,144",,,
37081,Guilford County,"7,091,898",,,
16001,Ada County,"7,141,727",,,
40039,Custer County,"529,613",,,
39101,Marion County,"859,270",,,
17149,Pike County,"158,880",,,
17203,Woodford County,"410,653",,,
13245,Richmond County,"2,832,619",,,
18167,Vigo County,"1,570,688",,,
18039,Elkhart County,"3,065,484",,,
51077,Grayson County,"247,314",,,
48303,Lubbock County,"5,334,968",,,
27093,Meeker County,"266,970",,,
53037,Kittitas County,"514,584",,,
18135,Randolph County,"365,698",,,
49025,Kane County,"78,737",,,
27113,Pennington County,"161,354",,,
53073,Whatcom County,"2,688,808",,,
41021,Gilliam County,"27,456",,,
34029,Ocean County,"5,187,075",,,
5009,Boone County,"630,891",,,
40031,Comanche County,"2,281,432",,,
48253,Jones County,"331,309",,,
48185,Grimes County,"485,145",,,
26049,Genesee County,"3,955,956",,,
22007,Assumption Parish,"469,352",,,
28013,Calhoun County,"227,087",,,
28041,Greene County,"231,030",,,
29059,Dallas County,"217,413",,,
51143,Pittsylvania County,"975,798",,,
2068,Denali Borough,"18,007",,,
20145,Pawnee County,"90,453",,,
20209,Wyandotte County,"2,358,748",,,
12029,Dixie County,"193,893",,,
26157,Tuscola County,"524,413",,,
2240,Southeast Fairbanks Census Area,"56,393",,,
20065,Graham County,"34,781",,,
22097,St. Landry Parish,"1,796,328",,,
47055,Giles County,"448,575",,,
39095,Lucas County,"5,671,259",,,
5093,Mississippi County,"691,815",,,
72117,Rincón Municipio,"82,153",,,
28043,Grenada County,"365,860",,,
21213,Simpson County,"320,398",,,
50013,Grand Isle County,"61,489",,,
39029,Columbiana County,"1,336,068",,,
