geoid,state_abbr,total_claims,total_building_damage_$,total_content_damage_$,state_fips,county_fips
01001,AL,77,1162621.56,205584.8,01,001
01003,AL,19745,564338260.13,88111950.82,01,003
01005,AL,34,540607.13,154243.6,01,005
01007,AL,12,30485.45,2500.0,01,007
01009,AL,26,118153.97,680773.43,01,009
01011,AL,3,41265.12,20849.52,01,011
01013,AL,3,4900.0,5000.0,01,013
01015,AL,129,569820.1,136438.26,01,015
01017,AL,24,706228.27,215239.45,01,017
01019,AL,27,359303.37,27272.24,01,019
01021,AL,10,75313.82,3178.51,01,021
01023,AL,53,499313.97,63495.02,01,023
01025,AL,31,724208.91,170376.1,01,025
01027,AL,1,0.0,0.0,01,027
01031,AL,590,11194853.96,6483933.41,01,031
01033,AL,143,1521397.68,397955.82,01,033
01035,AL,3,54500.0,7989.5,01,035
01037,AL,10,111743.53,74320.08,01,037
01039,AL,37,319741.1,76821.98,01,039
01041,AL,2,0.0,0.0,01,041
01043,AL,30,498600.25,64995.3,01,043
01045,AL,144,2485533.53,1153487.02,01,045
01047,AL,196,1661901.55,292329.08,01,047
01049,AL,40,508100.15,530104.1,01,049
01051,AL,66,946018.72,145757.46,01,051
01053,AL,384,6626237.95,7130445.29,01,053
01055,AL,129,678036.3,137023.77,01,055
01059,AL,4,52093.23,0.0,01,059
01061,AL,154,2245708.72,531735.24,01,061
01063,AL,111,922560.19,145364.97,01,063
01065,AL,114,541648.41,129193.97,01,065
01067,AL,19,360560.91,105947.44,01,067
01069,AL,194,3240041.8,867288.99,01,069
01071,AL,69,558561.43,105500.33,01,071
01073,AL,2880,36860392.82,10413245.87,01,073
01075,AL,14,30204.35,36367.8,01,075
01077,AL,141,1110563.68,289796.63,01,077
01079,AL,46,669018.4,123467.44,01,079
01081,AL,61,465156.18,36130.34,01,081
01083,AL,59,589489.05,81337.18,01,083
01085,AL,11,105201.66,21250.0,01,085
01087,AL,5,32688.61,23273.51,01,087
01089,AL,778,8903882.36,2455241.49,01,089
01091,AL,40,162700.57,23807.35,01,091
01093,AL,11,131688.71,37846.15,01,093
01095,AL,41,777471.28,249087.58,01,095
01097,AL,15102,279900661.21,82308612.16,01,097
01099,AL,24,97490.79,13447.12,01,099
01101,AL,416,5579513.43,1079741.85,01,101
01103,AL,200,2281147.1,738191.04,01,103
01105,AL,2,7314.9,0.0,01,105
01107,AL,115,979467.59,173166.71,01,107
01111,AL,1,10868.35,4960.62,01,111
01113,AL,60,949963.34,132970.58,01,113
01115,AL,96,1177881.85,199713.25,01,115
01117,AL,797,15062807.33,4131884.99,01,117
01119,AL,17,216804.16,40354.88,01,119
01121,AL,107,1858755.04,233815.33,01,121
01123,AL,6,57533.47,0.0,01,123
01125,AL,298,2935854.56,447927.94,01,125
01127,AL,64,582397.48,95856.25,01,127
01129,AL,15,88636.62,26079.36,01,129
01131,AL,21,97134.66,26962.7,01,131
01133,AL,11,107487.29,22150.98,01,133
02020,AK,79,267443.55,452.72,02,020
02050,AK,45,268200.33,37326.9,02,050
02090,AK,244,2055144.81,463019.86,02,090
02110,AK,101,4441687.0,459095.5,02,110
02122,AK,82,625641.3,67881.62,02,122
02130,AK,11,96148.1,33304.1,02,130
02170,AK,87,2120377.88,30273.49,02,170
02180,AK,25,1516481.27,4615.75,02,180
02185,AK,1,55781.71,0.0,02,185
02188,AK,11,97392.18,0.0,02,188
02220,AK,6,20130.27,0.0,02,220
02261,AK,8,57655.59,10374.85,02,261
02270,AK,2,13411.25,0.0,02,270
02280,AK,1,0.0,0.0,02,280
02290,AK,72,3200598.73,140900.73,02,290
04001,AZ,10,18327.83,0.0,04,001
04003,AZ,114,561877.54,61388.54,04,003
04005,AZ,294,4707315.07,533400.39,04,005
04007,AZ,154,3152700.14,311459.68,04,007
04009,AZ,42,260818.85,90469.86,04,009
04011,AZ,142,1591000.76,565925.15,04,011
04012,AZ,112,868139.01,183917.66,04,012
04013,AZ,2630,21871229.64,4167409.6,04,013
04015,AZ,162,1675940.35,162670.4,04,015
04017,AZ,106,889368.02,81825.23,04,017
04019,AZ,581,6721830.48,1149646.78,04,019
04021,AZ,150,2514094.34,929093.26,04,021
04023,AZ,161,1058424.77,227833.38,04,023
04025,AZ,466,5687901.49,550930.02,04,025
04027,AZ,123,1014969.25,33853.89,04,027
05001,AR,89,1322532.27,110939.54,05,001
05003,AR,61,725797.33,99000.81,05,003
05005,AR,115,2402311.63,411298.33,05,005
05007,AR,336,7716878.58,1415671.05,05,007
05009,AR,35,462640.56,21859.75,05,009
05011,AR,59,1280854.08,133677.39,05,011
05013,AR,9,148393.61,0.0,05,013
05015,AR,7,7725.71,1297.32,05,015
05017,AR,153,3623406.22,482362.78,05,017
05019,AR,32,562483.15,328504.91,05,019
05021,AR,180,3575585.2,233298.54,05,021
05023,AR,37,968799.35,257523.52,05,023
05025,AR,4,44382.73,13914.75,05,025
05027,AR,14,61588.52,27977.48,05,027
05029,AR,27,247691.31,31722.16,05,029
05031,AR,409,5893938.37,2029284.91,05,031
05033,AR,71,1326366.25,217910.73,05,033
05035,AR,885,11395936.79,1385152.93,05,035
05037,AR,61,2009241.23,236514.1,05,037
05039,AR,1,7083.83,0.0,05,039
05041,AR,206,3196893.3,367695.88,05,041
05043,AR,40,609338.3,46029.61,05,043
05045,AR,320,6806931.49,844385.22,05,045
05047,AR,48,574130.95,141926.04,05,047
05049,AR,61,1295331.15,296270.68,05,049
05051,AR,270,2949175.28,1355206.5,05,051
05053,AR,16,145200.81,255.68,05,053
05055,AR,235,1020364.35,26362.75,05,055
05057,AR,9,593591.62,24132.36,05,057
05059,AR,20,224212.64,65314.84,05,059
05061,AR,26,104367.52,57711.19,05,061
05063,AR,187,2054878.41,225905.63,05,063
05065,AR,71,2100378.99,308906.96,05,065
05067,AR,174,2748250.1,334734.97,05,067
05069,AR,596,12252467.68,1555250.86,05,069
05071,AR,6,29075.82,5032.34,05,071
05073,AR,5,78940.75,22934.54,05,073
05075,AR,48,838412.29,48343.71,05,075
05077,AR,59,1130190.71,151618.26,05,077
05079,AR,29,679706.28,21259.12,05,079
05081,AR,3,66114.67,15389.25,05,081
05083,AR,7,74111.15,4067.47,05,083
05085,AR,89,1106571.33,195735.56,05,085
05087,AR,7,88024.92,24474.32,05,087
05089,AR,9,582378.77,530000.0,05,089
05091,AR,140,2521746.66,193266.45,05,091
05093,AR,91,1806496.59,346274.76,05,093
05095,AR,170,3555498.26,251610.64,05,095
05097,AR,57,1126092.51,299126.04,05,097
05099,AR,1,5209.28,0.0,05,099
05101,AR,7,119094.33,0.0,05,101
05103,AR,91,1311629.64,208813.2,05,103
05105,AR,30,1103111.8,29223.9,05,105
05107,AR,455,2657267.6,1050342.96,05,107
05109,AR,10,261653.9,115384.63,05,109
05111,AR,68,1553452.81,132464.57,05,111
05113,AR,23,188081.01,3683.1,05,113
05115,AR,64,747803.02,222182.54,05,115
05117,AR,87,2518272.35,184064.42,05,117
05119,AR,1719,24385893.6,5787233.66,05,119
05121,AR,234,8282885.64,1214591.97,05,121
05123,AR,27,422099.22,24788.17,05,123
05125,AR,275,5749201.3,1887710.44,05,125
05127,AR,10,837724.8,181762.69,05,127
05131,AR,421,16623815.97,2338569.77,05,131
05133,AR,19,367054.19,406717.3,05,133
05135,AR,113,3011081.72,500121.49,05,135
05137,AR,8,176802.97,19880.74,05,137
05139,AR,137,1760140.58,308712.02,05,139
05141,AR,18,368758.31,219243.41,05,141
05143,AR,433,12359386.85,1147890.18,05,143
05145,AR,134,2784577.39,174620.41,05,145
05147,AR,72,1451201.74,137064.3,05,147
05149,AR,12,139654.81,7476.64,05,149
06001,CA,568,4168629.58,280051.44,06,001
06003,CA,5,41652.98,4344.0,06,003
06005,CA,78,1462367.93,48299.86,06,005
06007,CA,335,6105438.94,1092728.55,06,007
06009,CA,74,2086171.39,167219.72,06,009
06011,CA,160,2262285.29,688483.7,06,011
06013,CA,1202,11653242.13,1193291.25,06,013
06015,CA,37,424038.0,30559.56,06,015
06017,CA,206,3408806.05,624538.86,06,017
06019,CA,277,1981546.18,249560.19,06,019
06021,CA,194,2036496.21,357693.09,06,021
06023,CA,200,2637035.7,220672.63,06,023
06025,CA,103,482557.14,77766.98,06,025
06027,CA,4,9258.08,2411.36,06,027
06029,CA,280,1396886.8,118586.37,06,029
06031,CA,10,145314.21,5486.37,06,031
06033,CA,1432,13128531.85,967628.26,06,033
06035,CA,52,1027996.42,17617.94,06,035
06037,CA,9092,62226613.31,9946070.6,06,037
06039,CA,63,534913.47,163807.94,06,039
06041,CA,3295,42793946.7,8468532.4,06,041
06045,CA,183,4195212.5,505820.09,06,045
06047,CA,497,13852415.22,646452.34,06,047
06051,CA,46,300761.78,103972.37,06,051
06053,CA,1492,35942551.52,6193532.36,06,053
06055,CA,1361,24506746.89,5277966.38,06,055
06057,CA,63,957572.9,187800.18,06,057
06059,CA,3829,18362770.51,2702813.85,06,059
06061,CA,627,13163403.32,2928746.48,06,061
06063,CA,57,972635.1,159693.63,06,063
06065,CA,1634,18229263.16,2917524.3,06,065
06067,CA,3858,32871534.34,5524471.87,06,067
06069,CA,129,3618558.63,189596.87,06,069
06071,CA,864,8613069.25,991555.42,06,071
06073,CA,2438,40061689.19,6226238.22,06,073
06075,CA,147,2369085.86,293723.09,06,075
06077,CA,420,7085037.54,1070293.98,06,077
06079,CA,613,7591492.35,1004698.84,06,079
06081,CA,1109,16553756.9,3464447.34,06,081
06083,CA,1308,28788372.21,2565220.51,06,083
06085,CA,1630,23130629.87,1418105.86,06,085
06087,CA,1633,22770403.51,1982458.25,06,087
06089,CA,256,3112582.45,396241.15,06,089
06091,CA,26,557481.58,34800.61,06,091
06093,CA,67,447602.63,21931.5,06,093
06095,CA,594,8632822.95,2322199.97,06,095
06097,CA,7402,107680377.77,24047071.27,06,097
06099,CA,242,4129392.51,549167.14,06,099
06101,CA,199,2501466.62,545198.74,06,101
06103,CA,428,4639262.69,919433.91,06,103
06105,CA,23,62456.72,10095.0,06,105
06107,CA,364,4094727.95,222730.87,06,107
06109,CA,20,294295.22,14524.29,06,109
