Unnamed: 0,state_name,county_name,population_2024,state_fips,county_fips,geoid,state_abbr
5,Alabama,Autauga County,61464,01,001,01001,AL
11,Alabama,Baldwin County,261608,01,003,01003,AL
17,Alabama,Barbour County,24358,01,005,01005,AL
23,Alabama,Bibb County,22258,01,007,01007,AL
29,Alabama,Blount County,60163,01,009,01009,AL
35,Alabama,Bullock County,9901,01,011,01011,AL
41,Alabama,Butler County,18256,01,013,01013,AL
47,Alabama,Calhoun County,116427,01,015,01015,AL
53,Alabama,Chambers County,33813,01,017,01017,AL
59,Alabama,Cherokee County,26138,01,019,01019,AL
65,Alabama,Chilton County,47262,01,021,01021,AL
71,Alabama,Choctaw County,12052,01,023,01023,AL
77,Alabama,Clarke County,22142,01,025,01025,AL
83,Alabama,Clay County,14239,01,027,01027,AL
89,Alabama,Cleburne County,15905,01,029,01029,AL
95,Alabama,Coffee County,56358,01,031,01031,AL
101,Alabama,Colbert County,58785,01,033,01033,AL
107,Alabama,Conecuh County,11109,01,035,01035,AL
113,Alabama,Coosa County,10291,01,037,01037,AL
119,Alabama,Covington County,37748,01,039,01039,AL
125,Alabama,Crenshaw County,13114,01,041,01041,AL
131,Alabama,Cullman County,92604,01,043,01043,AL
137,Alabama,Dale County,50067,01,045,01045,AL
143,Alabama,Dallas County,35545,01,047,01047,AL
149,Alabama,DeKalb County,73122,01,049,01049,AL
155,Alabama,Elmore County,91042,01,051,01051,AL
161,Alabama,Escambia County,36630,01,053,01053,AL
167,Alabama,Etowah County,103207,01,055,01055,AL
173,Alabama,Fayette County,15863,01,057,01057,AL
179,Alabama,Franklin County,31874,01,059,01059,AL
185,Alabama,Geneva County,27259,01,061,01061,AL
191,Alabama,Greene County,7127,01,063,01063,AL
197,Alabama,Hale County,15116,01,065,01065,AL
203,Alabama,Henry County,18141,01,067,01067,AL
209,Alabama,Houston County,109366,01,069,01069,AL
215,Alabama,Jackson County,53780,01,071,01071,AL
221,Alabama,Jefferson County,664744,01,073,01073,AL
227,Alabama,Lamar County,13543,01,075,01075,AL
233,Alabama,Lauderdale County,97502,01,077,01077,AL
239,Alabama,Lawrence County,33567,01,079,01079,AL
245,Alabama,Lee County,187847,01,081,01081,AL
251,Alabama,Limestone County,118942,01,083,01083,AL
257,Alabama,Lowndes County,9485,01,085,01085,AL
263,Alabama,Macon County,18159,01,087,01087,AL
269,Alabama,Madison County,423355,01,089,01089,AL
275,Alabama,Marengo County,18512,01,091,01091,AL
281,Alabama,Marion County,29323,01,093,01093,AL
287,Alabama,Marshall County,102156,01,095,01095,AL
293,Alabama,Mobile County,412339,01,097,01097,AL
299,Alabama,Monroe County,19057,01,099,01099,AL
305,Alabama,Montgomery County,225894,01,101,01101,AL
311,Alabama,Morgan County,126084,01,103,01103,AL
317,Alabama,Perry County,7719,01,105,01105,AL
323,Alabama,Pickens County,18508,01,107,01107,AL
329,Alabama,Pike County,33124,01,109,01109,AL
335,Alabama,Randolph County,23067,01,111,01111,AL
341,Alabama,Russell County,58837,01,113,01113,AL
347,Alabama,St. Clair County,96927,01,115,01115,AL
353,Alabama,Shelby County,235969,01,117,01117,AL
359,Alabama,Sumter County,11607,01,119,01119,AL
365,Alabama,Talladega County,81375,01,121,01121,AL
371,Alabama,Tallapoosa County,40699,01,123,01123,AL
377,Alabama,Tuscaloosa County,241212,01,125,01125,AL
383,Alabama,Walker County,65260,01,127,01127,AL
389,Alabama,Washington County,15018,01,129,01129,AL
395,Alabama,Wilcox County,9865,01,131,01131,AL
401,Alabama,Winston County,23869,01,133,01133,AL
407,Alaska,Aleutians East Borough,3632,02,013,02013,AK
413,Alaska,Aleutians West Census Area,5424,02,016,02016,AK
419,Alaska,Anchorage Municipality,289600,02,020,02020,AK
425,Alaska,Bethel Census Area,18237,02,050,02050,AK
431,Alaska,Bristol Bay Borough,884,02,060,02060,AK
437,Alaska,Chugach Census Area,6604,02,063,02063,AK
443,Alaska,Copper River Census Area,2631,02,066,02066,AK
449,Alaska,Denali Borough,1621,02,068,02068,AK
455,Alaska,Dillingham Census Area,4642,02,070,02070,AK
461,Alaska,Fairbanks North Star Borough,94951,02,090,02090,AK
467,Alaska,Haines Borough,2104,02,100,02100,AK
473,Alaska,Hoonah-Angoon Census Area,2312,02,105,02105,AK
479,Alaska,Juneau City and Borough,31572,02,110,02110,AK
485,Alaska,Kenai Peninsula Borough,61259,02,122,02122,AK
491,Alaska,Ketchikan Gateway Borough,13677,02,130,02130,AK
497,Alaska,Kodiak Island Borough,12654,02,150,02150,AK
503,Alaska,Kusilvak Census Area,7946,02,158,02158,AK
509,Alaska,Lake and Peninsula Borough,1315,02,164,02164,AK
515,Alaska,Matanuska-Susitna Borough,117613,02,170,02170,AK
521,Alaska,Nome Census Area,9836,02,180,02180,AK
527,Alaska,North Slope Borough,10663,02,185,02185,AK
533,Alaska,Northwest Arctic Borough,7134,02,188,02188,AK
539,Alaska,Petersburg Borough,3436,02,195,02195,AK
545,Alaska,Prince of Wales-Hyder Census Area,5746,02,198,02198,AK
551,Alaska,Sitka City and Borough,8355,02,220,02220,AK
557,Alaska,Skagway Municipality,1119,02,230,02230,AK
563,Alaska,Southeast Fairbanks Census Area,7313,02,240,02240,AK
569,Alaska,Wrangell City and Borough,2064,02,275,02275,AK
575,Alaska,Yakutat City and Borough,690,02,282,02282,AK
581,Alaska,Yukon-Koyukuk Census Area,5099,02,290,02290,AK
587,Arizona,Apache County,64800,04,001,04001,AZ
593,Arizona,Cochise County,125773,04,003,04003,AZ
599,Arizona,Coconino County,145161,04,005,04005,AZ
605,Arizona,Gila County,54073,04,007,04007,AZ
611,Arizona,Graham County,40242,04,009,04009,AZ
617,Arizona,Greenlee County,9410,04,011,04011,AZ
623,Arizona,La Paz County,16992,04,012,04012,AZ
629,Arizona,Maricopa County,4673096,04,013,04013,AZ
635,Arizona,Mohave County,226479,04,015,04015,AZ
641,Arizona,Navajo County,109516,04,017,04017,AZ
647,Arizona,Pima County,1080149,04,019,04019,AZ
653,Arizona,Pinal County,513862,04,021,04021,AZ
659,Arizona,Santa Cruz County,50508,04,023,04023,AZ
665,Arizona,Yavapai County,252013,04,025,04025,AZ
671,Arizona,Yuma County,220310,04,027,04027,AZ
677,Arkansas,Arkansas County,16050,05,001,05001,AR
683,Arkansas,Ashley County,17984,05,003,05003,AR
689,Arkansas,Baxter County,43007,05,005,05005,AR
695,Arkansas,Benton County,321566,05,007,05007,AR
701,Arkansas,Boone County,38636,05,009,05009,AR
707,Arkansas,Bradley County,9935,05,011,05011,AR
713,Arkansas,Calhoun County,4690,05,013,05013,AR
719,Arkansas,Carroll County,28968,05,015,05015,AR
725,Arkansas,Chicot County,9272,05,017,05017,AR
731,Arkansas,Clark County,20920,05,019,05019,AR
737,Arkansas,Clay County,14112,05,021,05021,AR
743,Arkansas,Cleburne County,25646,05,023,05023,AR
749,Arkansas,Cleveland County,7367,05,025,05025,AR
755,Arkansas,Columbia County,22024,05,027,05027,AR
761,Arkansas,Conway County,21422,05,029,05029,AR
767,Arkansas,Craighead County,115852,05,031,05031,AR
773,Arkansas,Crawford County,62258,05,033,05033,AR
