Unnamed: 0,state_name,county_name,state_fips,county_fips,geoid,state_abbr,population_2025
5,Alabama,Autauga County,01,001,01001,AL,"61,920"
11,Alabama,Baldwin County,01,003,01003,AL,"267,761"
17,Alabama,Barbour County,01,005,01005,AL,"24,607"
23,Alabama,Bibb County,01,007,01007,AL,"22,262"
29,Alabama,Blount County,01,009,01009,AL,"60,156"
35,Alabama,Bullock County,01,011,01011,AL,"9,780"
41,Alabama,Butler County,01,013,01013,AL,"18,100"
47,Alabama,Calhoun County,01,015,01015,AL,"115,834"
53,Alabama,Chambers County,01,017,01017,AL,"34,253"
59,Alabama,Cherokee County,01,019,01019,AL,"26,413"
65,Alabama,Chilton County,01,021,01021,AL,"47,708"
71,Alabama,Choctaw County,01,023,01023,AL,"11,904"
77,Alabama,Clarke County,01,025,01025,AL,"22,014"
83,Alabama,Clay County,01,027,01027,AL,"14,207"
89,Alabama,Cleburne County,01,029,01029,AL,"15,970"
95,Alabama,Coffee County,01,031,01031,AL,"56,953"
101,Alabama,Colbert County,01,033,01033,AL,"59,474"
107,Alabama,Conecuh County,01,035,01035,AL,"10,899"
113,Alabama,Coosa County,01,037,01037,AL,"10,161"
119,Alabama,Covington County,01,039,01039,AL,"37,947"
125,Alabama,Crenshaw County,01,041,01041,AL,"13,175"
131,Alabama,Cullman County,01,043,01043,AL,"94,009"
137,Alabama,Dale County,01,045,01045,AL,"49,912"
143,Alabama,Dallas County,01,047,01047,AL,"35,140"
149,Alabama,DeKalb County,01,049,01049,AL,"74,085"
155,Alabama,Elmore County,01,051,01051,AL,"91,577"
161,Alabama,Escambia County,01,053,01053,AL,"36,665"
167,Alabama,Etowah County,01,055,01055,AL,"103,886"
173,Alabama,Fayette County,01,057,01057,AL,"15,872"
179,Alabama,Franklin County,01,059,01059,AL,"32,449"
185,Alabama,Geneva County,01,061,01061,AL,"27,554"
191,Alabama,Greene County,01,063,01063,AL,"7,067"
197,Alabama,Hale County,01,065,01065,AL,"15,194"
203,Alabama,Henry County,01,067,01067,AL,"18,394"
209,Alabama,Houston County,01,069,01069,AL,"110,318"
215,Alabama,Jackson County,01,071,01071,AL,"54,281"
221,Alabama,Jefferson County,01,073,01073,AL,"665,742"
227,Alabama,Lamar County,01,075,01075,AL,"13,587"
233,Alabama,Lauderdale County,01,077,01077,AL,"97,135"
239,Alabama,Lawrence County,01,079,01079,AL,"33,843"
245,Alabama,Lee County,01,081,01081,AL,"189,881"
251,Alabama,Limestone County,01,083,01083,AL,"122,928"
257,Alabama,Lowndes County,01,085,01085,AL,"9,359"
263,Alabama,Macon County,01,087,01087,AL,"18,132"
269,Alabama,Madison County,01,089,01089,AL,"433,516"
275,Alabama,Marengo County,01,091,01091,AL,"18,311"
281,Alabama,Marion County,01,093,01093,AL,"29,097"
287,Alabama,Marshall County,01,095,01095,AL,"103,537"
293,Alabama,Mobile County,01,097,01097,AL,"411,658"
299,Alabama,Monroe County,01,099,01099,AL,"18,965"
305,Alabama,Montgomery County,01,101,01101,AL,"225,891"
311,Alabama,Morgan County,01,103,01103,AL,"126,483"
317,Alabama,Perry County,01,105,01105,AL,"7,425"
323,Alabama,Pickens County,01,107,01107,AL,"18,221"
329,Alabama,Pike County,01,109,01109,AL,"33,688"
335,Alabama,Randolph County,01,111,01111,AL,"23,163"
341,Alabama,Russell County,01,113,01113,AL,"58,898"
347,Alabama,St. Clair County,01,115,01115,AL,"98,206"
353,Alabama,Shelby County,01,117,01117,AL,"238,552"
359,Alabama,Sumter County,01,119,01119,AL,"11,588"
365,Alabama,Talladega County,01,121,01121,AL,"81,603"
371,Alabama,Tallapoosa County,01,123,01123,AL,"40,953"
377,Alabama,Tuscaloosa County,01,125,01125,AL,"241,368"
383,Alabama,Walker County,01,127,01127,AL,"65,140"
389,Alabama,Washington County,01,129,01129,AL,"14,822"
395,Alabama,Wilcox County,01,131,01131,AL,"9,666"
401,Alabama,Winston County,01,133,01133,AL,"23,829"
407,Alaska,Aleutians East Borough,02,013,02013,AK,"3,479"
413,Alaska,Aleutians West Census Area,02,016,02016,AK,"5,240"
419,Alaska,Anchorage Municipality,02,020,02020,AK,"287,155"
425,Alaska,Bethel Census Area,02,050,02050,AK,"18,391"
431,Alaska,Bristol Bay Borough,02,060,02060,AK,847
437,Alaska,Chugach Census Area,02,063,02063,AK,"6,553"
443,Alaska,Copper River Census Area,02,066,02066,AK,"2,666"
449,Alaska,Denali Borough,02,068,02068,AK,"1,616"
455,Alaska,Dillingham Census Area,02,070,02070,AK,"4,483"
461,Alaska,Fairbanks North Star Borough,02,090,02090,AK,"93,972"
467,Alaska,Haines Borough,02,100,02100,AK,"2,068"
473,Alaska,Hoonah-Angoon Census Area,02,105,02105,AK,"2,271"
479,Alaska,Juneau City and Borough,02,110,02110,AK,"31,609"
485,Alaska,Kenai Peninsula Borough,02,122,02122,AK,"61,951"
491,Alaska,Ketchikan Gateway Borough,02,130,02130,AK,"13,549"
497,Alaska,Kodiak Island Borough,02,150,02150,AK,"12,387"
503,Alaska,Kusilvak Census Area,02,158,02158,AK,"7,932"
509,Alaska,Lake and Peninsula Borough,02,164,02164,AK,"1,357"
515,Alaska,Matanuska-Susitna Borough,02,170,02170,AK,"118,666"
521,Alaska,Nome Census Area,02,180,02180,AK,"9,830"
527,Alaska,North Slope Borough,02,185,02185,AK,"10,582"
533,Alaska,Northwest Arctic Borough,02,188,02188,AK,"7,095"
539,Alaska,Petersburg Borough,02,195,02195,AK,"3,394"
545,Alaska,Prince of Wales-Hyder Census Area,02,198,02198,AK,"5,777"
551,Alaska,Sitka City and Borough,02,220,02220,AK,"8,319"
557,Alaska,Skagway Municipality,02,230,02230,AK,"1,104"
563,Alaska,Southeast Fairbanks Census Area,02,240,02240,AK,"7,270"
569,Alaska,Wrangell City and Borough,02,275,02275,AK,"2,007"
575,Alaska,Yakutat City and Borough,02,282,02282,AK,672
581,Alaska,Yukon-Koyukuk Census Area,02,290,02290,AK,"5,028"
587,Arizona,Apache County,04,001,04001,AZ,"64,445"
593,Arizona,Cochise County,04,003,04003,AZ,"126,332"
599,Arizona,Coconino County,04,005,04005,AZ,"144,368"
605,Arizona,Gila County,04,007,04007,AZ,"53,801"
611,Arizona,Graham County,04,009,04009,AZ,"40,157"
617,Arizona,Greenlee County,04,011,04011,AZ,"9,312"
623,Arizona,La Paz County,04,012,04012,AZ,"16,711"
629,Arizona,Maricopa County,04,013,04013,AZ,"4,689,558"
635,Arizona,Mohave County,04,015,04015,AZ,"228,102"
641,Arizona,Navajo County,04,017,04017,AZ,"109,946"
647,Arizona,Pima County,04,019,04019,AZ,"1,074,685"
653,Arizona,Pinal County,04,021,04021,AZ,"539,380"
659,Arizona,Santa Cruz County,04,023,04023,AZ,"50,020"
665,Arizona,Yavapai County,04,025,04025,AZ,"252,552"
671,Arizona,Yuma County,04,027,04027,AZ,"224,449"
677,Arkansas,Arkansas County,05,001,05001,AR,"15,836"
683,Arkansas,Ashley County,05,003,05003,AR,"17,831"
689,Arkansas,Baxter County,05,005,05005,AR,"42,982"
695,Arkansas,Benton County,05,007,05007,AR,"332,554"
701,Arkansas,Boone County,05,009,05009,AR,"38,628"
707,Arkansas,Bradley County,05,011,05011,AR,"9,828"
713,Arkansas,Calhoun County,05,013,05013,AR,"4,632"
719,Arkansas,Carroll County,05,015,05015,AR,"29,263"
725,Arkansas,Chicot County,05,017,05017,AR,"9,107"
731,Arkansas,Clark County,05,019,05019,AR,"20,938"
737,Arkansas,Clay County,05,021,05021,AR,"14,052"
743,Arkansas,Cleburne County,05,023,05023,AR,"25,672"
749,Arkansas,Cleveland County,05,025,05025,AR,"7,224"
755,Arkansas,Columbia County,05,027,05027,AR,"21,894"
761,Arkansas,Conway County,05,029,05029,AR,"21,393"
767,Arkansas,Craighead County,05,031,05031,AR,"116,957"
773,Arkansas,Crawford County,05,033,05033,AR,"62,657"
779,Arkansas,Crittenden County,05,035,05035,AR,"46,210"
785,Arkansas,Cross County,05,037,05037,AR,"16,186"
791,Arkansas,Dallas County,05,039,05039,AR,"6,011"
797,Arkansas,Desha County,05,041,05041,AR,"9,984"
803,Arkansas,Drew County,05,043,05043,AR,"17,054"
809,Arkansas,Faulkner County,05,045,05045,AR,"133,979"
815,Arkansas,Franklin County,05,047,05047,AR,"17,725"
821,Arkansas,Fulton County,05,049,05049,AR,"12,492"
827,Arkansas,Garland County,05,051,05051,AR,"99,695"
833,Arkansas,Grant County,05,053,05053,AR,"18,756"
839,Arkansas,Greene County,05,055,05055,AR,"47,411"
845,Arkansas,Hempstead County,05,057,05057,AR,"19,080"
851,Arkansas,Hot Spring County,05,059,05059,AR,"33,451"
857,Arkansas,Howard County,05,061,05061,AR,"12,306"
863,Arkansas,Independence County,05,063,05063,AR,"38,785"
869,Arkansas,Izard County,05,065,05065,AR,"14,405"
875,Arkansas,Jackson County,05,067,05067,AR,"16,741"
881,Arkansas,Jefferson County,05,069,05069,AR,"62,987"
887,Arkansas,Johnson County,05,071,05071,AR,"26,225"
893,Arkansas,Lafayette County,05,073,05073,AR,"5,888"
899,Arkansas,Lawrence County,05,075,05075,AR,"16,273"
905,Arkansas,Lee County,05,077,05077,AR,"8,029"
911,Arkansas,Lincoln County,05,079,05079,AR,"12,764"
917,Arkansas,Little River County,05,081,05081,AR,"11,763"
923,Arkansas,Logan County,05,083,05083,AR,"21,633"
929,Arkansas,Lonoke County,05,085,05085,AR,"76,664"
935,Arkansas,Madison County,05,087,05087,AR,"18,410"
941,Arkansas,Marion County,05,089,05089,AR,"17,593"
947,Arkansas,Miller County,05,091,05091,AR,"42,357"
953,Arkansas,Mississippi County,05,093,05093,AR,"37,828"
959,Arkansas,Monroe County,05,095,05095,AR,"6,244"
965,Arkansas,Montgomery County,05,097,05097,AR,"8,579"
971,Arkansas,Nevada County,05,099,05099,AR,"7,942"
977,Arkansas,Newton County,05,101,05101,AR,"7,026"
983,Arkansas,Ouachita County,05,103,05103,AR,"21,731"
989,Arkansas,Perry County,05,105,05105,AR,"10,309"
995,Arkansas,Phillips County,05,107,05107,AR,"14,255"
1001,Arkansas,Pike County,05,109,05109,AR,"9,964"
1007,Arkansas,Poinsett County,05,111,05111,AR,"22,483"
1013,Arkansas,Polk County,05,113,05113,AR,"19,486"
1019,Arkansas,Pope County,05,115,05115,AR,"64,976"
1025,Arkansas,Prairie County,05,117,05117,AR,"7,923"
1031,Arkansas,Pulaski County,05,119,05119,AR,"404,611"
1037,Arkansas,Randolph County,05,121,05121,AR,"18,876"
1043,Arkansas,St. Francis County,05,123,05123,AR,"21,800"
1049,Arkansas,Saline County,05,125,05125,AR,"133,288"
1055,Arkansas,Scott County,05,127,05127,AR,"9,965"
1061,Arkansas,Searcy County,05,129,05129,AR,"7,848"
1067,Arkansas,Sebastian County,05,131,05131,AR,"130,641"
1073,Arkansas,Sevier County,05,133,05133,AR,"15,758"
1079,Arkansas,Sharp County,05,135,05135,AR,"18,122"
1085,Arkansas,Stone County,05,137,05137,AR,"12,703"
1091,Arkansas,Union County,05,139,05139,AR,"36,926"
1097,Arkansas,Van Buren County,05,141,05141,AR,"16,238"
1103,Arkansas,Washington County,05,143,05143,AR,"271,213"
1109,Arkansas,White County,05,145,05145,AR,"80,085"
1115,Arkansas,Woodruff County,05,147,05147,AR,"5,710"
1121,Arkansas,Yell County,05,149,05149,AR,"19,956"
1127,California,Alameda County,06,001,06001,CA,"1,636,630"
1133,California,Alpine County,06,003,06003,CA,"1,043"
1139,California,Amador County,06,005,06005,CA,"41,876"
1145,California,Butte County,06,007,06007,CA,"209,211"
1151,California,Calaveras County,06,009,06009,CA,"46,605"
1157,California,Colusa County,06,011,06011,CA,"21,836"
1163,California,Contra Costa County,06,013,06013,CA,"1,170,070"
1169,California,Del Norte County,06,015,06015,CA,"26,410"
1175,California,El Dorado County,06,017,06017,CA,"192,323"
1181,California,Fresno County,06,019,06019,CA,"1,035,456"
1187,California,Glenn County,06,021,06021,CA,"28,141"
1193,California,Humboldt County,06,023,06023,CA,"131,647"
1199,California,Imperial County,06,025,06025,CA,"181,411"
1205,California,Inyo County,06,027,06027,CA,"18,158"
1211,California,Kern County,06,029,06029,CA,"927,068"
1217,California,Kings County,06,031,06031,CA,"154,327"
1223,California,Lake County,06,033,06033,CA,"67,772"
1229,California,Lassen County,06,035,06035,CA,"28,117"
1235,California,Los Angeles County,06,037,06037,CA,"9,694,934"
1241,California,Madera County,06,039,06039,CA,"167,927"
1247,California,Marin County,06,041,06041,CA,"253,694"
