geoid,state_fips,county_fips,county_name,state_abbr,lat,lon,pga_max_considered,ss_spectral_02s,s1_spectral_1s,sds_design,sd1_design
01003,01,003,Baldwin County,AL,30.659218,-87.746067,0.058,0.12,0.067,0.085,0.064
01007,01,007,Bibb County,AL,33.015893,-87.127148,0.17,0.31,0.11,0.21,0.096
01009,01,009,Blount County,AL,33.977358,-86.56644,0.17,0.34,0.12,0.23,0.11
01001,01,001,Autauga County,AL,32.532237,-86.64644,0.11,0.22,0.091,0.15,0.082
01005,01,005,Barbour County,AL,31.870253,-85.405104,0.064,0.14,0.074,0.1,0.069
01011,01,011,Bullock County,AL,32.101759,-85.717261,0.071,0.16,0.078,0.11,0.072
01015,01,015,Calhoun County,AL,33.770516,-85.827909,0.16,0.3,0.11,0.21,0.094
01013,01,013,Butler County,AL,31.751667,-86.681969,0.073,0.16,0.078,0.11,0.072
01017,01,017,Chambers County,AL,32.915504,-85.394032,0.093,0.2,0.088,0.14,0.079
01021,01,021,Chilton County,AL,32.854051,-86.726607,0.14,0.26,0.099,0.18,0.088
01019,01,019,Cherokee County,AL,34.069515,-85.654242,0.19,0.35,0.11,0.23,0.097
01023,01,023,Choctaw County,AL,31.990954,-88.248889,0.11,0.22,0.091,0.15,0.083
01027,01,027,Clay County,AL,33.2704,-85.863525,0.13,0.26,0.098,0.18,0.087
01025,01,025,Clarke County,AL,31.685521,-87.818624,0.088,0.18,0.083,0.13,0.076
01029,01,029,Cleburne County,AL,33.671964,-85.516126,0.14,0.28,0.1,0.19,0.089
01031,01,031,Coffee County,AL,31.402258,-85.989602,0.059,0.13,0.071,0.09,0.066
01033,01,033,Colbert County,AL,34.703112,-87.801457,0.22,0.49,0.17,0.33,0.15
01037,01,037,Coosa County,AL,32.931445,-86.243482,0.12,0.24,0.096,0.17,0.085
01035,01,035,Conecuh County,AL,31.430926,-86.988722,0.069,0.15,0.075,0.1,0.07
01039,01,039,Covington County,AL,31.243987,-86.448721,0.059,0.13,0.07,0.089,0.066
01041,01,041,Crenshaw County,AL,31.730311,-86.320038,0.068,0.15,0.076,0.1,0.071
01051,01,051,Elmore County,AL,32.597229,-86.142735,0.096,0.2,0.088,0.14,0.08
01049,01,049,DeKalb County,AL,34.460915,-85.804021,0.23,0.4,0.12,0.27,0.11
01047,01,047,Dallas County,AL,32.333526,-87.11436,0.11,0.22,0.091,0.15,0.082
01043,01,043,Cullman County,AL,34.131923,-86.869267,0.17,0.36,0.13,0.24,0.11
01045,01,045,Dale County,AL,31.430654,-85.609476,0.057,0.13,0.07,0.089,0.065
01053,01,053,Escambia County,AL,31.122287,-87.16841,0.063,0.14,0.071,0.094,0.067
01055,01,055,Etowah County,AL,34.047641,-86.034263,0.18,0.34,0.12,0.23,0.1
01061,01,061,Geneva County,AL,31.092382,-85.821022,0.053,0.12,0.067,0.082,0.063
01057,01,057,Fayette County,AL,33.716157,-87.764292,0.19,0.38,0.13,0.26,0.12
01059,01,059,Franklin County,AL,34.441989,-87.842814,0.21,0.46,0.16,0.31,0.14
01065,01,065,Hale County,AL,32.752796,-87.623061,0.19,0.33,0.11,0.22,0.096
01063,01,063,Greene County,AL,32.844497,-87.9642,0.28,0.44,0.12,0.29,0.1
01069,01,069,Houston County,AL,31.158183,-85.296411,0.053,0.12,0.066,0.082,0.062
01067,01,067,Henry County,AL,31.516978,-85.239971,0.058,0.13,0.07,0.09,0.065
01071,01,071,Jackson County,AL,34.764114,-85.980056,0.22,0.4,0.13,0.27,0.11
01073,01,073,Jefferson County,AL,33.553444,-86.896536,0.18,0.34,0.12,0.23,0.1
01075,01,075,Lamar County,AL,33.787085,-88.087431,0.18,0.39,0.14,0.26,0.12
01083,01,083,Limestone County,AL,34.810239,-86.981399,0.19,0.41,0.15,0.28,0.13
01079,01,079,Lawrence County,AL,34.529776,-87.321865,0.2,0.42,0.15,0.28,0.13
01085,01,085,Lowndes County,AL,32.147888,-86.650586,0.086,0.18,0.084,0.13,0.077
01081,01,081,Lee County,AL,32.604064,-85.353048,0.082,0.18,0.084,0.13,0.076
01077,01,077,Lauderdale County,AL,34.904168,-87.651108,0.23,0.51,0.17,0.34,0.15
01087,01,087,Macon County,AL,32.387027,-85.692887,0.079,0.17,0.082,0.12,0.075
01089,01,089,Madison County,AL,34.764238,-86.55108,0.18,0.38,0.13,0.26,0.12
01093,01,093,Marion County,AL,34.138219,-87.881551,0.2,0.42,0.15,0.29,0.13
01091,01,091,Marengo County,AL,32.247591,-87.791091,0.12,0.24,0.095,0.16,0.085
01095,01,095,Marshall County,AL,34.309564,-86.321668,0.18,0.35,0.12,0.24,0.11
01097,01,097,Mobile County,AL,30.684572,-88.196568,0.062,0.13,0.068,0.089,0.065
01103,01,103,Morgan County,AL,34.454484,-86.846402,0.18,0.37,0.13,0.25,0.12
01105,01,105,Perry County,AL,32.639005,-87.293827,0.14,0.27,0.1,0.19,0.09
01101,01,101,Montgomery County,AL,32.202881,-86.204461,0.08,0.17,0.082,0.12,0.075
01099,01,099,Monroe County,AL,31.580353,-87.383342,0.078,0.17,0.079,0.11,0.073
01107,01,107,Pickens County,AL,33.2968,-88.096864,0.19,0.37,0.13,0.25,0.11
01111,01,111,Randolph County,AL,33.296461,-85.464064,0.11,0.23,0.094,0.16,0.084
01109,01,109,Pike County,AL,31.798653,-85.941608,0.066,0.15,0.075,0.1,0.07
01113,01,113,Russell County,AL,32.289811,-85.18698,0.073,0.16,0.079,0.11,0.072
01115,01,115,St. Clair County,AL,33.719491,-86.311327,0.16,0.32,0.11,0.22,0.099
01117,01,117,Shelby County,AL,33.266893,-86.661007,0.17,0.31,0.11,0.21,0.095
01121,01,121,Talladega County,AL,33.369314,-86.17593,0.15,0.29,0.1,0.2,0.092
01119,01,119,Sumter County,AL,32.597481,-88.200057,0.16,0.31,0.11,0.21,0.096
01127,01,127,Walker County,AL,33.791558,-87.301094,0.19,0.37,0.13,0.25,0.11
01125,01,125,Tuscaloosa County,AL,33.29022,-87.522783,0.19,0.36,0.12,0.24,0.1
01123,01,123,Tallapoosa County,AL,32.863308,-85.799618,0.1,0.21,0.09,0.15,0.081
01129,01,129,Washington County,AL,31.408503,-88.212404,0.08,0.17,0.08,0.12,0.074
01133,01,133,Winston County,AL,34.154566,-87.365346,0.19,0.39,0.14,0.27,0.12
01131,01,131,Wilcox County,AL,31.990082,-87.304935,0.092,0.19,0.086,0.13,0.078
02013,02,013,Aleutians East Borough,AK,55.245044,-161.997477,0.49,1.21,0.45,0.79,0.46
02020,02,020,Anchorage Municipality,AK,61.17425,-149.284329,0.55,1.5,0.67,1.03,0.61
02060,02,060,Bristol Bay Borough,AK,58.741661,-156.966805,0.3,0.68,0.27,0.47,0.28
02063,02,063,Chugach Census Area,AK,60.488474,-146.203092,0.6,1.63,0.76,1.1,0.71
02050,02,050,Bethel Census Area,AK,60.929141,-160.152625,0.17,0.39,0.13,0.28,0.13
02066,02,066,Copper River Census Area,AK,62.034479,-143.922167,0.33,0.79,0.35,0.54,0.37
02068,02,068,Denali Borough,AK,63.682039,-150.027016,0.55,1.29,0.49,0.91,0.46
02070,02,070,Dillingham Census Area,AK,59.543326,-158.267123,0.12,0.26,0.14,0.19,0.14
02100,02,100,Haines Borough,AK,59.098404,-135.575791,0.49,1.07,0.45,0.78,0.43
02090,02,090,Fairbanks North Star Borough,AK,64.670454,-146.496061,0.39,0.9,0.31,0.64,0.3
02105,02,105,Hoonah-Angoon Census Area,AK,58.403336,-135.884909,0.47,1.05,0.54,0.77,0.52
02110,02,110,Juneau City and Borough,AK,58.37291,-134.178445,0.2,0.46,0.28,0.34,0.26
02122,02,122,Kenai Peninsula Borough,AK,60.366668,-152.322283,0.55,1.33,0.5,0.87,0.52
02130,02,130,Ketchikan Gateway Borough,AK,55.449938,-131.106685,0.13,0.29,0.2,0.22,0.18
