id,type,lat,lon,name,operator,addr_city,addr_state
751881301,node,38.9028879,-77.0291491,CoreSite DC1,CoreSite,,
1825907839,node,35.1032925,-106.5893487,Southwest Cyberport,,Albuquerque,NM
2590601520,node,42.4378824,-123.3286299,FCR,,Grants Pass,OR
2607827436,node,32.7750252,-117.070888,SDSU Computer Room,,,
3406467087,node,25.7915453,-80.3177484,NocRoom Miami IT Services,,,
3406476814,node,25.6465617,-80.4234346,NocRoom Miami IT Services,,,
3468203102,node,30.407446,-91.1725454,Center for Computation & Technology (CCT),,,
3732415309,node,45.5214248,-122.680562,The Pittock Internet Exchange,Alco Properties,Portland,OR
4879481820,node,33.7715677,-84.3668585,Google Fiber,Google,,
5146323411,node,37.8698521,-122.2598231,Open Computing Facility,,,
5225685660,node,37.415688,-79.1427063,Lumos Networks,,,
6401035673,node,35.4672049,-97.6497453,Rack59 Data Center,,Oklahoma CIty,OK
6625492701,node,35.0925015,-106.6536712,Oso Grande,Oso Grande,Albuquerque,NM
6685432442,node,39.5140963,-119.4795921,Switch Tahoe Reno - The Citadel Campus,Switch,McCarran,NV
6793837329,node,39.6309851,-78.2253196,Morgan Wireless,,Bath (Berkeley Springs),WV
6856057098,node,32.7825463,-96.7828145,VIRTBIZ,,Dallas,TX
7171975407,node,43.6578388,-70.2613785,FirstLight Data Center,FirstLight,Portland,ME
7264976228,node,40.42179,-86.9141546,Learning GIS!,,,
7264976991,node,40.4218543,-86.9165454,Agricultural and Biological Engineering,,,
7324132050,node,35.881397,-78.851552,Windstream Communications,,Durham,NC
7324132051,node,35.881364,-78.8515726,Level 3 Communications,,Durham,NC
7557854384,node,33.3804149,-111.7526684,OptimumHQ,,Mesa,AZ
7557868585,node,33.380601,-111.7528888,The Chatfield Group,,Mesa,AZ
7578821329,node,33.3199157,-111.809686,All About Serving Process Server,,Chandler,AZ
7737996606,node,33.302965,-111.8405386,Emailage,,,
7821940847,node,33.3799862,-111.728405,Alliance Technology,,Mesa,AZ
7985753364,node,38.9137236,-77.2258825,8100 Boone Boulevard,Digital Realty,,
8017899486,node,29.6728187,-82.2997617,HiPerGator,University of Florida,,
8109664813,node,33.7555186,-84.3914814,Atlanta ATL13,Digital Realty,Atlanta,GA
8165754026,node,43.0439408,-87.9539794,Data Holdings Data Center,,Milwaukee,WI
8238715059,node,37.4027449,-121.891051,STACK Infrastructure,"Stack Infrastructure, Incorporated",San Jose,CA
8238715061,node,37.4026341,-121.891057,STACK Infrastructure,"Stack Infrastructure, Incorporated",San Jose,CA
8477460442,node,35.2553162,-120.6415128,Digital West Data Center,,,
8641856300,node,42.6279424,-82.9883939,Chick-fil-A Hiring Center,Dennis Sampier,,
8767284091,node,41.7070776,-72.5898636,Ergonomic Group,,Glastonbury,CT
8897151054,node,37.3341181,-121.891646,San Jose Colocation Center,CoreSite,San Jose,CA
9092482804,node,39.0254851,-77.4146998,Amazon Web Services IAD69,Amazon Web Services,,
9190480200,node,30.1781365,-95.4860464,Stream Data Centers Houston,,The Woodlands,TX
9669340912,node,39.2877017,-76.6064893,Crown Castle Baltimore,Crown Castle Fiber,Baltimore,MD
9669405859,node,39.2917583,-76.6203737,AiNET One Market Center,AiNET,Baltimore,MD
9669639033,node,38.9208538,-77.2115713,Lumen McLean,Lumen Technologies,McLean,VA
9721703993,node,43.0093779,-87.9610618,TierPoint Milwaukee,,,
9736262934,node,42.9902011,-78.8123836,Frontier Science,,Amherst,NY
9808044830,node,35.0886289,-106.6526456,505 Marquette,,Albuquerque,NM
9808044840,node,35.0844494,-106.6489853,123 Central,bigbyte.cc,Albuquerque,NM
9861806598,node,39.1011816,-94.5788209,,,,
9922928085,node,39.1009071,-94.5811452,Netrality Data Centers,,Kansas City,MO
10014176940,node,18.4174359,-66.1089895,Microsoft,Microsoft,Guaynabo,PR
10537283366,node,41.8728811,-87.63344,Netrality,Netrality,Chicago,IL
10567817971,node,36.0030993,-78.9385323,Brandaleone Lab for Data and Visualization,Duke Libraries,,
10648552506,node,35.9295133,-84.310567,Frontier (supercomputer),Oak Ridge National Laboratory,,
10780794741,node,37.7796531,-122.3940005,,Ntirety,,CA
10796113031,node,33.627367,-111.9017033,VaultLogix,,,
10796113033,node,33.6272477,-111.9020476,Profit Finder Pro Software,,,
10798644674,node,33.6116624,-111.9139825,DataPro USA Web Development,,,
10880725408,node,37.9710809,-122.0437382,e360,,Concord,CA
10910879064,node,41.8533507,-87.6183067,Digital Realty ORD10,Digital Realty,Chicago,IL
10910879065,node,41.8533827,-87.6186071,Centersquare Chicago Data Center - ORD1,Centersquare,Chicago,IL
10938672218,node,33.6344843,-111.8843457,K-Motion Interactive,,,
10945121336,node,41.8805271,-87.6359383,West Monroe,,,
11018926315,node,33.6446663,-111.8960985,Iron Mountain Data Centers AZS-1,,,
11098469355,node,41.8759405,-87.6314655,CoreSite Chicago Data Center (CH1),CoreSite,Chicago,IL
11113161710,node,33.6647455,-112.1117142,Accelera Data Systems,,,
11167641842,node,39.4273178,-76.8115503,Expedient Owings Mills,Expedient,Owings Mills,MD
11168593074,node,39.2917592,-76.6204024,Lumen Baltimore,Lumen Technologies,,
11168593094,node,39.2746554,-76.5916709,Expedient Tidepoint,Expedient,,
11400893880,node,39.5938733,-104.8431597,Flexential - Denver - Centennial Data Center,Flexential,Centennial,CO
11526819452,node,43.7971554,-123.0559456,EarthClick.net LLC,,Cottage Grove,OR
11666916913,node,33.3955855,-111.9700762,EdgeConneX Data Center,EdgeConneX,,
