Name,State,Location,Capacity(MW),Capacity Factor,Annual Generation (GWh),CO2 emissions (Tons/year) [2][3],CO2 emissions/ Annual Generation,Majority Owner,Fuel type,Retired,Ref
Armstrong,Pennsylvania,40°55′45″N 79°27′59″W﻿ / ﻿40.92917°N 79.46639°W,356,,,,,FirstEnergy,Bituminous coal,"September 1, 2012",[4]
Asbury,Missouri,37°21′41″N 94°35′21″W﻿ / ﻿37.36139°N 94.58917°W,232,,,,,Empire District Electric Company,,March 2020,
Birchwood,Virginia,38°15′56″N 77°18′51″W﻿ / ﻿38.265423°N 77.314233°W,258,,77 (2020),"65,032 (2019)",1355 (2019),J-POWER General Electric,Bituminous coal,March 2021,[5][6]
Boardman,Oregon,45°41′36″N 119°48′25″W﻿ / ﻿45.69333°N 119.80694°W,550,,,,,Portland General Electric,,October 2020,
Brayton Point [note 1],Massachusetts,41°42′45″N 71°11′38″W﻿ / ﻿41.71250°N 71.19389°W,1537.6,,,,,PG&E (1963-2005) Dominion Energy New England (2005-2013) Energy Capital Partners (2013-2015) Dynegy (2015-present),Bituminous coal,October 2020,[7]
Bridgeport,Connecticut,41°10′17″N 73°11′03″W﻿ / ﻿41.17139°N 73.18417°W,995,,"2,100 (2019)","806,838 (2019)",384 (2019),Public Service Enterprise Group,Sub-bituminous coal,June 2021,[8][9][10][11]
Bruce Mansfield,Pennsylvania,40°38′4″N 80°25′1″W﻿ / ﻿40.63444°N 80.41694°W,2490,,,,,FirstEnergy,,November 2019,
Bull Run,Tennessee,36°01′16″N 84°09′22″W﻿ / ﻿36.02111°N 84.15611°W,889,,641 (2020),"1,337,090 (2019)",862 (2019),Tennessee Valley Authority,Bituminous coal,December 2023,[12][13][14]
Burlington,Iowa,40°44′28″N 91°07′00″W﻿ / ﻿40.741200°N 91.116670°W,212,,"1,130 (2020)","1,194,481 (2019)",1042 (2019),Interstate Power and Light,Sub-bituminous coal,December 2021,[15][16][10]
Carbon Power Plant [note 2],Utah,39°43′38″N 110°51′51″W﻿ / ﻿39.72722°N 110.86417°W,190,,,,,PacifiCorp,Sub-bituminous coal,"April 16, 2015",[17]
Charles P. Crane,Maryland,39°19′25″N 76°21′59″W﻿ / ﻿39.32361°N 76.36639°W,400,,,,,Avenue Capital Group,Sub-bituminous coal,June 2018,[18][19][20][21][22]
Charles R. Lowman,Alabama,31°29′17″N 87°54′38″W﻿ / ﻿31.488167°N 87.910477°W,538,,,,,PowerSouth Energy Cooperative,Bituminous coal,October 2020,[23][24]
Cheswick,Pennsylvania,40°32′18″N 79°47′29″W﻿ / ﻿40.53833°N 79.79139°W,635,,542 (2020),"896,561 (2019)",1135 (2019),GenOn Energy Holdings,Bituminous coal,April 2022,[25][26][27][28][29][10]
Dan E. Karn,Michigan,43°38′32″N 83°50′17″W﻿ / ﻿43.642089°N 83.838188°W,544,,"1,654 (2020)","1,934,954 (2019)","1,063 (2019)",CMS Energy,Sub-bituminous coal,June 2023,[30][31][32][33]
Dolet Hills,Louisiana,32°1′56″N 93°34′10″W﻿ / ﻿32.03222°N 93.56944°W,720,,,,,SWEPCO Cleco Power LLC Northeast Texas Electric Cooperative Inc,Lignite,October 2021,
Eckert,Michigan,42°41′42″N 84°39′43″W﻿ / ﻿42.694957°N 84.662078°W,375,,384 (2018) 44 (2019) 5 (2020),"484,156 (2018) 46,403 (2019)",,Lansing Board of Water and Light,Sub-bituminous coal,April 2021,[34][35][10]
Elk River,Minnesota,45°17′43″N 93°33′24″W﻿ / ﻿45.295172°N 93.5567°W,35 to 42,,,,,Great River Energy,Sub-bituminous coal Oil Refuse Derived Fuel[note 3],January 2019,[36][37]
Erickson,Michigan,42°41′33″N 84°39′27″W﻿ / ﻿42.692414°N 84.657470°W,155,,691 (2019),"765,200 (2019)","1,107 (2019)",Lansing Board of Water & Light,Sub-bituminous coal,November 2022,[38][39]
Escalante,New Mexico,35°24′58″N 108°05′00″W﻿ / ﻿35.41611°N 108.08333°W,257,,"1,209 (2019)","1,292,447 (2018)",,TSGTA,Sub-bituminous coal,December 2020,[40][41][10]
Frank E. Ratts,Indiana,38°31′12″N 87°16′02″W﻿ / ﻿38.52000°N 87.26722°W,250,,,,,Hoosier Energy,Sub-bituminous coal,"December 29, 2014",[42][43]
G. G. Allen,North Carolina,35°11′25″N 81°0′30″W﻿ / ﻿35.19028°N 81.00833°W,868,,895 (2019),"974,310 (2019)","1,089 (2019)",Duke Energy,Bituminous coal,December 2024,[44][45][32][46]
George F. Weaton,Pennsylvania,40°40′2.24″N 80°20′46.03″W﻿ / ﻿40.6672889°N 80.3461194°W,110,,,,,Horsehead Corporation,Sub-bituminous coal,July 2012,[47][48]
Grainger,South Carolina,33°49′33″N 79°03′10″W﻿ / ﻿33.82583°N 79.05278°W,170,,,,,Central Electric Power Cooperative,Bituminous coal,October 2012,[49][50][51][52][53]
Harding Street,Indiana,39°42′34″N 86°11′48″W﻿ / ﻿39.70944°N 86.19667°W,698,,,,,AES Indiana,Bituminous coal,2016,[54][55]
Harllee Branch,Georgia,33°11′38″N 83°17′59″W﻿ / ﻿33.19389°N 83.29972°W,1539,,,,,Georgia Power,Bituminous coal,April 2015,
Hatfield's Ferry,Pennsylvania,39°51′20″N 79°55′39″W﻿ / ﻿39.85556°N 79.92750°W,1700,,,,,FirstEnergy,Bituminous coal,"October 9, 2013",[56][57][58][59] [60][61][62][63]
Henderson Station One [note 4],Kentucky,37°50′N 87°35′W﻿ / ﻿37.84°N 87.59°W,44,,,,,City of Henderson,Coal,"December 31, 2008",[64]
Henderson Station Two [note 5],Kentucky,37°38′48″N 87°30′05″W﻿ / ﻿37.646678°N 87.501403°W,405,,,,,Henderson City Utility Commission,Bituminous coal,May 2019,[65]
Homer City,Pennsylvania,40°30′39″N 79°11′37″W﻿ / ﻿40.51083°N 79.19361°W,2022,29%,"6,828 (2019)","6,753,709 (2019)",989 2019,NRG Energy,Bituminous coal,July 2023,[66][67][68][69][70]
Hoot Lake,Minnesota,46°17′27″N 96°02′35″W﻿ / ﻿46.290791°N 96.043071°W,129,,319 (2019),"356,720 (2019)",1118 (2019),Otter Tail Power Company,Sub-bituminous coal,June 2021,[71][72][73][74]
Indian River,Delaware,38°35′08″N 75°14′05″W﻿ / ﻿38.585556°N 75.234722°W,446,,121 (2019),"207,103 (2019)","1,712 (2019)",NRG Energy,Bituminous coal,February 2025,[75][76][77][78] [79][80][81][82]
J.M. Stuart,Ohio,38°38′16″N 83°41′35″W﻿ / ﻿38.63778°N 83.69306°W,2318,,,,,Dynegy (39%),,May 2018,
Johnsonville,Tennessee,36°1′40″N 87°59′12″W﻿ / ﻿36.02778°N 87.98667°W,1500,,,,,Tennessee Valley Authority,,December 2017,
Kenneth C. Coleman,Kentucky,37°57′45″N 86°47′30″W﻿ / ﻿37.9625°N 86.7917°W,521,,,,,Big Rivers Electric Corporation,Coal,September 2020,
Kintigh [note 6] [note 7],New York,43°21′29″N 78°36′14″W﻿ / ﻿43.35806°N 78.60389°W,675,,,,,AES Corporation,Bituminous coal,"March 31, 2020",[83][84][85]
Lewis & Clark,Montana,47°40′44″N 104°09′27″W﻿ / ﻿47.678875°N 104.157368°W,50,,263 (2019),"314,567 (2018)",,Montana-Dakota Utilities,Lignite,March 2021,[86][87][88][89][90]
