geo_id,county_name,location_factor
40075,Kiowa County,0.97
46079,Lake County,0.99
37033,Caswell County,0.99
48377,Presidio County,0.95
39057,Greene County,0.99
35028,Los Alamos County,1.03
20041,Dickinson County,0.99
48427,Starr County,0.95
40129,Roger Mills County,0.97
55103,Richland County,1.03
35025,Lea County,1.03
47117,Marshall County,1.02
51011,Appomattox County,1.0
5087,Madison County,1.0
22089,St. Charles Parish,1.02
47063,Hamblen County,1.02
48009,Archer County,0.95
48023,Baylor County,0.95
48405,San Augustine County,0.95
13249,Schley County,1.02
48313,Madison County,0.95
28159,Winston County,0.97
21103,Henry County,1.01
21167,Mercer County,1.01
31183,Wheeler County,0.99
21135,Lewis County,1.01
27051,Grant County,1.05
1025,Clarke County,0.99
19099,Jasper County,1.005
28153,Wayne County,0.97
48101,Cottle County,0.95
51081,Greensville County,1.0
48503,Young County,0.95
1123,Tallapoosa County,0.99
33015,Rockingham County,1.04
8105,Rio Grande County,0.98
19149,Plymouth County,1.005
36123,Yates County,1.17
41017,Deschutes County,1.09
19155,Pottawattamie County,1.005
29043,Christian County,1.065
28073,Lamar County,0.97
18137,Ripley County,1.01
38057,Mercer County,1.01
13147,Hart County,1.02
22049,Jackson Parish,1.02
51133,Northumberland County,1.0
55047,Green Lake County,1.03
30073,Pondera County,0.99
55127,Walworth County,1.03
18067,Howard County,1.01
18125,Pike County,1.01
26045,Eaton County,1.0350000000000001
19179,Wapello County,1.005
26027,Cass County,1.0350000000000001
48035,Bosque County,0.95
44005,Newport County,1.09
39045,Fairfield County,0.99
17015,Carroll County,1.18
27125,Red Lake County,1.05
41031,Jefferson County,1.09
30055,McCone County,0.99
19019,Buchanan County,1.005
17043,DuPage County,1.18
46047,Fall River County,0.99
13219,Oconee County,1.02
48493,Wilson County,0.95
31059,Fillmore County,0.99
18153,Sullivan County,1.01
13027,Brooks County,1.02
20185,Stafford County,0.99
13271,Telfair County,1.02
26115,Monroe County,1.0350000000000001
18181,White County,1.01
18113,Noble County,1.01
46017,Buffalo County,0.99
46095,Mellette County,0.99
48135,Ector County,0.95
48293,Limestone County,0.95
54003,Berkeley County,1.01
45021,Cherokee County,1.02
37199,Yancey County,0.99
48387,Red River County,0.95
27149,Stevens County,1.05
13301,Warren County,1.02
48197,Hardeman County,0.95
13165,Jenkins County,1.02
21085,Grayson County,1.01
48363,Palo Pinto County,0.95
13149,Heard County,1.02
1079,Lawrence County,0.99
20025,Clark County,0.99
20081,Haskell County,0.99
22013,Bienville Parish,1.02
27167,Wilkin County,1.05
23011,Kennebec County,1.02
51173,Smyth County,1.0
35041,Roosevelt County,1.03
42111,Somerset County,1.085
51191,Washington County,1.0
37081,Guilford County,0.99
40039,Custer County,0.97
39101,Marion County,0.99
17149,Pike County,1.18
17203,Woodford County,1.18
18167,Vigo County,1.01
18039,Elkhart County,1.01
51077,Grayson County,1.0
48303,Lubbock County,0.95
27093,Meeker County,1.05
18135,Randolph County,1.01
27113,Pennington County,1.05
41021,Gilliam County,1.09
5009,Boone County,1.0
48253,Jones County,0.95
48185,Grimes County,0.95
26049,Genesee County,1.0350000000000001
28041,Greene County,0.97
29059,Dallas County,1.065
51143,Pittsylvania County,1.0
20145,Pawnee County,0.99
20209,Wyandotte County,0.99
26157,Tuscola County,1.0350000000000001
20065,Graham County,0.99
47055,Giles County,1.02
39095,Lucas County,0.99
21213,Simpson County,1.01
50013,Grand Isle County,1.08
39029,Columbiana County,0.99
51125,Nelson County,1.0
18033,DeKalb County,1.01
29197,Schuyler County,1.065
1059,Franklin County,0.99
21041,Carroll County,1.01
48267,Kimble County,0.95
46027,Clay County,0.99
10005,Sussex County,1.07
13159,Jasper County,1.02
29175,Randolph County,1.065
20015,Butler County,0.99
48209,Hays County,0.95
48297,Live Oak County,0.95
31091,Hooker County,0.99
51147,Prince Edward County,1.0
42017,Bucks County,1.085
42081,Lycoming County,1.085
16057,Latah County,1.02
51640,Galax city,1.0
35037,Quay County,1.03
48269,King County,0.95
5073,Lafayette County,1.0
48451,Tom Green County,0.95
21031,Butler County,1.01
56005,Campbell County,0.99
13211,Morgan County,1.02
78030,St. Thomas Island,
19061,Dubuque County,1.005
51075,Goochland County,1.0
20181,Sherman County,0.99
39139,Richland County,0.99
17001,Adams County,1.18
39021,Champaign County,0.99
33019,Sullivan County,1.04
17075,Iroquois County,1.18
19157,Poweshiek County,1.005
39169,Wayne County,0.99
13113,Fayette County,1.02
13141,Hancock County,1.02
48259,Kendall County,0.95
51137,Orange County,1.0
13277,Tift County,1.02
31025,Cass County,0.99
56009,Converse County,0.99
26053,Gogebic County,1.0350000000000001
27005,Becker County,1.05
1095,Marshall County,0.99
20179,Sheridan County,0.99
28037,Franklin County,0.97
19015,Boone County,1.005
48373,Polk County,0.95
31051,Dixon County,0.99
45037,Edgefield County,1.02
54057,Mineral County,1.01
55003,Ashland County,1.03
17053,Ford County,1.18
22035,East Carroll Parish,1.02
22037,East Feliciana Parish,1.02
2198,Prince of Wales-Hyder Census Area,
48153,Floyd County,0.95
21151,Madison County,1.01
51025,Brunswick County,1.0
51149,Prince George County,1.0
23023,Sagadahoc County,1.02
30097,Sweet Grass County,0.99
48181,Grayson County,0.95
42059,Greene County,1.085
20051,Ellis County,0.99
1105,Perry County,0.99
20151,Pratt County,0.99
21017,Bourbon County,1.01
47149,Rutherford County,1.02
20101,Lane County,0.99
40059,Harper County,0.97
17147,Piatt County,1.18
48107,Crosby County,0.95
8009,Baca County,0.98
16021,Boundary County,1.02
39159,Union County,0.99
39035,Cuyahoga County,0.99
48285,Lavaca County,0.95
40105,Nowata County,0.97
13125,Glascock County,1.02
41059,Umatilla County,1.09
46102,Oglala Lakota County,0.99
18035,Delaware County,1.01
13315,Wilcox County,1.02
22081,Red River Parish,1.02
23017,Oxford County,1.02
25021,Norfolk County,1.15
18063,Hendricks County,1.01
38041,Hettinger County,1.01
55011,Buffalo County,1.03
51069,Frederick County,1.0
54041,Lewis County,1.01
27119,Polk County,1.05
27127,Redwood County,1.05
60040,Swains Island,
23031,York County,1.02
13231,Pike County,1.02
13259,Stewart County,1.02
34025,Monmouth County,1.15
40041,Delaware County,0.97
19107,Keokuk County,1.005
13285,Troup County,1.02
47043,Dickson County,1.02
54081,Raleigh County,1.01
35005,Chaves County,1.03
35049,Santa Fe County,1.03
4023,Santa Cruz County,1.01
31181,Webster County,0.99
17067,Hancock County,1.18
46067,Hutchinson County,0.99
41013,Crook County,1.09
50011,Franklin County,1.08
26103,Marquette County,1.0350000000000001
37057,Davidson County,0.99
29103,Knox County,1.065
42117,Tioga County,1.085
31043,Dakota County,0.99
26089,Leelanau County,1.0350000000000001
51181,Surry County,1.0
29135,Moniteau County,1.065
51193,Westmoreland County,1.0
37197,Yadkin County,0.99
40043,Dewey County,0.97
37191,Wayne County,0.99
42123,Warren County,1.085
5061,Howard County,1.0
37059,Davie County,0.99
37111,McDowell County,0.99
5099,Nevada County,1.0
8125,Yuma County,0.98
48421,Sherman County,0.95
48463,Uvalde County,0.95
39011,Auglaize County,0.99
19063,Emmet County,1.005
21153,Magoffin County,1.01
48017,Bailey County,0.95
29027,Callaway County,1.065
56001,Albany County,0.99
42093,Montour County,1.085
36081,Queens County,1.17
12121,Suwannee County,0.975
1111,Randolph County,0.99
37009,Ashe County,0.99
39089,Licking County,0.99
51683,Manassas city,1.0
17071,Henderson County,1.18
8005,Arapahoe County,0.98
21155,Marion County,1.01
28105,Oktibbeha County,0.97
24023,Garrett County,1.02
26059,Hillsdale County,1.0350000000000001
21141,Logan County,1.01
33013,Merrimack County,1.04
42133,York County,1.085
37161,Rutherford County,0.99
1043,Cullman County,0.99
13097,Douglas County,1.02
31097,Johnson County,0.99
46075,Jones County,0.99
39073,Hocking County,0.99
1085,Lowndes County,0.99
13043,Candler County,1.02
19113,Linn County,1.005
20005,Atchison County,0.99
17041,Douglas County,1.18
66010,Guam,
55137,Waushara County,1.03
29131,Miller County,1.065
37193,Wilkes County,0.99
2110,Juneau City and Borough,
13087,Decatur County,1.02
18177,Wayne County,1.01
21009,Barren County,1.01
31093,Howard County,0.99
38025,Dunn County,1.01
6005,Amador County,1.16
47049,Fentress County,1.02
26023,Branch County,1.0350000000000001
31139,Pierce County,0.99
13023,Bleckley County,1.02
13033,Burke County,1.02
17091,Kankakee County,1.18
31141,Platte County,0.99
37185,Warren County,0.99
13197,Marion County,1.02
51061,Fauquier County,1.0
51750,Radford city,1.0
18139,Rush County,1.01
55131,Washington County,1.03
29105,Laclede County,1.065
42085,Mercer County,1.085
55065,Lafayette County,1.03
54077,Preston County,1.01
69100,Rota Municipality,
55135,Waupaca County,1.03
48137,Edwards County,0.95
29153,Ozark County,1.065
19059,Dickinson County,1.005
21095,Harlan County,1.01
20061,Geary County,0.99
42011,Berks County,1.085
27083,Lyon County,1.05
51037,Charlotte County,1.0
47179,Washington County,1.02
45071,Newberry County,1.02
51093,Isle of Wight County,1.0
41069,Wheeler County,1.09
51111,Lunenburg County,1.0
38097,Traill County,1.01
13139,Hall County,1.02
13283,Treutlen County,1.02
13037,Calhoun County,1.02
55125,Vilas County,1.03
13055,Chattooga County,1.02
37103,Jones County,0.99
29199,Scotland County,1.065
20131,Nemaha County,0.99
20137,Norton County,0.99
40093,Major County,0.97
53051,Pend Oreille County,1.08
19197,Wright County,1.005
48419,Shelby County,0.95
29055,Crawford County,1.065
56033,Sheridan County,0.99
42041,Cumberland County,1.085
42055,Franklin County,1.085
42079,Luzerne County,1.085
1113,Russell County,0.99
39019,Carroll County,0.99
48191,Hall County,0.95
35057,Torrance County,1.03
48221,Hood County,0.95
29045,Clark County,1.065
21015,Boone County,1.01
21229,Washington County,1.01
22009,Avoyelles Parish,1.02
29227,Worth County,1.065
31163,Sherman County,0.99
46063,Harding County,0.99
26057,Gratiot County,1.0350000000000001
19175,Union County,1.005
27043,Faribault County,1.05
48161,Freestone County,0.95
42087,Mifflin County,1.085
1041,Crenshaw County,0.99
51520,Bristol city,1.0
48399,Runnels County,0.95
48443,Terrell County,0.95
20153,Rawlins County,0.99
20193,Thomas County,0.99
13161,Jeff Davis County,1.02
19035,Cherokee County,1.005
29053,Cooper County,1.065
17197,Will County,1.18
48117,Deaf Smith County,0.95
46011,Brookings County,0.99
19083,Hardin County,1.005
39027,Clinton County,0.99
39093,Lorain County,0.99
47101,Lewis County,1.02
51103,Lancaster County,1.0
29013,Bates County,1.065
33001,Belknap County,1.04
51159,Richmond County,1.0
29159,Pettis County,1.065
20019,Chautauqua County,0.99
48459,Upshur County,0.95
51047,Culpeper County,1.0
40061,Haskell County,0.97
54069,Ohio County,1.01
54065,Morgan County,1.01
51165,Rockingham County,1.0
18183,Whitley County,1.01
4001,Apache County,1.01
29121,Macon County,1.065
48279,Lamb County,0.95
20097,Kiowa County,0.99
29061,Daviess County,1.065
26101,Manistee County,1.0350000000000001
19119,Lyon County,1.005
48233,Hutchinson County,0.95
40139,Texas County,0.97
40153,Woodward County,0.97
19003,Adams County,1.005
55109,St. Croix County,1.03
42121,Venango County,1.085
39153,Summit County,0.99
48479,Webb County,0.95
37123,Montgomery County,0.99
23003,Aroostook County,1.02
28065,Jefferson Davis County,0.97
18175,Washington County,1.01
31107,Knox County,0.99
35061,Valencia County,1.03
30079,Prairie County,0.99
49031,Piute County,1.02
21161,Mason County,1.01
27009,Benton County,1.05
48129,Donley County,0.95
1077,Lauderdale County,0.99
18045,Fountain County,1.01
17173,Shelby County,1.18
17051,Fayette County,1.18
39127,Perry County,0.99
51590,Danville city,1.0
13011,Banks County,1.02
40109,Oklahoma County,0.97
40069,Johnston County,0.97
37099,Jackson County,0.99
29167,Polk County,1.065
19191,Winneshiek County,1.005
45039,Fairfield County,1.02
31033,Cheyenne County,0.99
27091,Martin County,1.05
48263,Kent County,0.95
31069,Garden County,0.99
17117,Macoupin County,1.18
39141,Ross County,0.99
48301,Loving County,0.95
40077,Latimer County,0.97
39167,Washington County,0.99
29091,Howell County,1.065
20047,Edwards County,0.99
21111,Jefferson County,1.01
17107,Logan County,1.18
47003,Bedford County,1.02
47027,Clay County,1.02
17029,Coles County,1.18
41001,Baker County,1.09
36097,Schuyler County,1.17
26159,Van Buren County,1.0350000000000001
17131,Mercer County,1.18
28099,Neshoba County,0.97
1035,Conecuh County,0.99
18029,Dearborn County,1.01
28081,Lee County,0.97
48125,Dickens County,0.95
51115,Mathews County,1.0
48283,La Salle County,0.95
36067,Onondaga County,1.17
19087,Henry County,1.005
31083,Harlan County,0.99
30075,Powder River County,0.99
55091,Pepin County,1.03
1021,Chilton County,0.99
48219,Hockley County,0.95
13009,Baldwin County,1.02
37171,Surry County,0.99
1031,Coffee County,0.99
39149,Shelby County,0.99
16027,Canyon County,1.02
55041,Forest County,1.03
39151,Stark County,0.99
48187,Guadalupe County,0.95
54037,Jefferson County,1.01
54055,Mercer County,1.01
28049,Hinds County,0.97
48281,Lampasas County,0.95
51107,Loudoun County,1.0
29185,St. Clair County,1.065
36025,Delaware County,1.17
29129,Mercer County,1.065
1051,Elmore County,0.99
39083,Knox County,0.99
19017,Bremer County,1.005
48175,Goliad County,0.95
37089,Henderson County,0.99
48393,Roberts County,0.95
31049,Deuel County,0.99
36051,Livingston County,1.17
19141,O'Brien County,1.005
28115,Pontotoc County,0.97
27105,Nobles County,1.05
27001,Aitkin County,1.05
37145,Person County,0.99
20195,Trego County,0.99
48133,Eastland County,0.95
48123,DeWitt County,0.95
45081,Saluda County,1.02
29125,Maries County,1.065
29109,Lawrence County,1.065
51540,Charlottesville city,1.0
17011,Bureau County,1.18
37115,Madison County,0.99
16053,Jerome County,1.02
48309,McLennan County,0.95
19089,Howard County,1.005
1013,Butler County,0.99
46009,Bon Homme County,0.99
47059,Greene County,1.02
51183,Sussex County,1.0
18141,St. Joseph County,1.01
19165,Shelby County,1.005
24013,Carroll County,1.02
19011,Benton County,1.005
21159,Martin County,1.01
27025,Chisago County,1.05
21189,Owsley County,1.01
42015,Bradford County,1.085
54029,Hancock County,1.01
29051,Cole County,1.065
26021,Berrien County,1.0350000000000001
42061,Huntingdon County,1.085
31045,Dawes County,0.99
51141,Patrick County,1.0
48325,Medina County,0.95
26105,Mason County,1.0350000000000001
46135,Yankton County,0.99
42039,Crawford County,1.085
46123,Tripp County,0.99
19077,Guthrie County,1.005
19183,Washington County,1.005
40051,Grady County,0.97
54039,Kanawha County,1.01
1009,Blount County,0.99
45065,McCormick County,1.02
45087,Union County,1.02
27103,Nicollet County,1.05
28161,Yalobusha County,0.97
4003,Cochise County,1.01
28023,Clarke County,0.97
19125,Marion County,1.005
51600,Fairfax city,1.0
40057,Harmon County,0.97
29039,Cedar County,1.065
13059,Clarke County,1.02
48275,Knox County,0.95
39037,Darke County,0.99
46041,Dewey County,0.99
13077,Coweta County,1.02
13105,Elbert County,1.02
1005,Barbour County,0.99
37017,Bladen County,0.99
48111,Dallam County,0.95
17167,Sangamon County,1.18
40035,Craig County,0.97
19161,Sac County,1.005
17113,McLean County,1.18
23001,Androscoggin County,1.02
16055,Kootenai County,1.02
20147,Phillips County,0.99
31089,Holt County,0.99
29101,Johnson County,1.065
55063,La Crosse County,1.03
17009,Brown County,1.18
27111,Otter Tail County,1.05
39077,Huron County,0.99
13005,Bacon County,1.02
10001,Kent County,1.07
39173,Wood County,0.99
13157,Jackson County,1.02
20003,Anderson County,0.99
17095,Knox County,1.18
30107,Wheatland County,0.99
45031,Darlington County,1.02
1053,Escambia County,0.99
13143,Haralson County,1.02
20001,Allen County,0.99
55049,Iowa County,1.03
27097,Morrison County,1.05
42003,Allegheny County,1.085
29205,Shelby County,1.065
39097,Madison County,0.99
20201,Washington County,0.99
17019,Champaign County,1.18
16087,Washington County,1.02
17045,Edgar County,1.18
8121,Washington County,0.98
39065,Hardin County,0.99
48423,Smith County,0.95
40143,Tulsa County,0.97
40091,McIntosh County,0.97
48171,Gillespie County,0.95
26125,Oakland County,1.0350000000000001
1071,Jackson County,0.99
19123,Mahaska County,1.005
20045,Douglas County,0.99
21197,Powell County,1.01
29097,Jasper County,1.065
41061,Union County,1.09
13151,Henry County,1.02
47175,Van Buren County,1.02
40125,Pottawatomie County,0.97
13003,Atkinson County,1.02
48145,Falls County,0.95
20033,Comanche County,0.99
21113,Jessamine County,1.01
21171,Monroe County,1.01
48031,Blanco County,0.95
21121,Knox County,1.01
26067,Ionia County,1.0350000000000001
51003,Albemarle County,1.0
47147,Robertson County,1.02
51043,Clarke County,1.0
53023,Garfield County,1.08
21109,Jackson County,1.01
45073,Oconee County,1.02
24037,St. Mary's County,1.02
21127,Lawrence County,1.01
21175,Morgan County,1.01
21177,Muhlenberg County,1.01
17049,Effingham County,1.18
18157,Tippecanoe County,1.01
42109,Snyder County,1.085
48277,Lamar County,0.95
31057,Dundy County,0.99
48289,Leon County,0.95
38035,Grand Forks County,1.01
18091,LaPorte County,1.01
18057,Hamilton County,1.01
51595,Emporia city,1.0
40081,Lincoln County,0.97
20071,Greeley County,0.99
13145,Harris County,1.02
13251,Screven County,1.02
48433,Stonewall County,0.95
39069,Henry County,0.99
33009,Grafton County,1.04
29145,Newton County,1.065
48311,McMullen County,0.95
17035,Cumberland County,1.18
13297,Walton County,1.02
51009,Amherst County,1.0
17033,Crawford County,1.18
27115,Pine County,1.05
48021,Bastrop County,0.95
53039,Klickitat County,1.08
55009,Brown County,1.03
20205,Wilson County,0.99
13155,Irwin County,1.02
26011,Arenac County,1.0350000000000001
19111,Lee County,1.005
20141,Osborne County,0.99
26047,Emmet County,1.0350000000000001
19071,Fremont County,1.005
23015,Lincoln County,1.02
21023,Bracken County,1.01
54087,Roane County,1.01
27159,Wadena County,1.05
37007,Anson County,0.99
38007,Billings County,1.01
31003,Antelope County,0.99
29073,Gasconade County,1.065
37035,Catawba County,0.99
21025,Breathitt County,1.01
48075,Childress County,0.95
17179,Tazewell County,1.18
48243,Jeff Davis County,0.95
51678,Lexington city,1.0
27163,Washington County,1.05
42051,Fayette County,1.085
54023,Grant County,1.01
51171,Shenandoah County,1.0
48235,Irion County,0.95
54101,Webster County,1.01
27033,Cottonwood County,1.05
16033,Clark County,1.02
19109,Kossuth County,1.005
31103,Keya Paha County,0.99
19187,Webster County,1.005
47159,Smith County,1.02
51089,Henry County,1.0
51510,Alexandria city,1.0
19101,Jefferson County,1.005
40003,Alfalfa County,0.97
48119,Delta County,0.95
47169,Trousdale County,1.02
21193,Perry County,1.01
48507,Zavala County,0.95
31007,Banner County,0.99
19121,Madison County,1.005
12011,Broward County,0.975
13279,Toombs County,1.02
26151,Sanilac County,1.0350000000000001
26163,Wayne County,1.0350000000000001
18043,Floyd County,1.01
20129,Morton County,0.99
21081,Grant County,1.01
21217,Taylor County,1.01
13115,Floyd County,1.02
24011,Caroline County,1.02
30043,Jefferson County,0.99
51059,Fairfax County,1.0
54045,Logan County,1.01
54073,Pleasants County,1.01
51071,Giles County,1.0
35015,Eddy County,1.03
31117,McPherson County,0.99
31145,Red Willow County,0.99
30051,Liberty County,0.99
48131,Duval County,0.95
29173,Ralls County,1.065
48251,Johnson County,0.95
13061,Clay County,1.02
41023,Grant County,1.09
48159,Franklin County,0.95
40005,Atoka County,0.97
17129,Menard County,1.18
13015,Bartow County,1.02
40111,Okmulgee County,0.97
18049,Fulton County,1.01
20091,Johnson County,0.99
24009,Calvert County,1.02
27169,Winona County,1.05
29003,Andrew County,1.065
29139,Montgomery County,1.065
37083,Halifax County,0.99
35043,Sandoval County,1.03
21051,Clay County,1.01
42035,Clinton County,1.085
13235,Pulaski County,1.02
37167,Stanly County,0.99
47143,Rhea County,1.02
37079,Greene County,0.99
17123,Marshall County,1.18
48095,Concho County,0.95
48081,Coke County,0.95
47133,Overton County,1.02
26063,Huron County,1.0350000000000001
26069,Iosco County,1.0350000000000001
13069,Coffee County,1.02
38037,Grant County,1.01
22103,St. Tammany Parish,1.02
45045,Greenville County,1.02
46085,Lyman County,0.99
55121,Trempealeau County,1.03
48431,Sterling County,0.95
48495,Winkler County,0.95
46071,Jackson County,0.99
49041,Sevier County,1.02
51036,Charles City County,1.0
20197,Wabaunsee County,0.99
27055,Houston County,1.05
21181,Nicholas County,1.01
25023,Plymouth County,1.15
36005,Bronx County,1.17
39103,Medina County,0.99
42005,Armstrong County,1.085
55071,Manitowoc County,1.03
55029,Door County,1.03
39053,Gallia County,0.99
48441,Taylor County,0.95
26139,Ottawa County,1.0350000000000001
17031,Cook County,1.18
45047,Greenwood County,1.02
20059,Franklin County,0.99
27027,Clay County,1.05
49003,Box Elder County,1.02
54051,Marshall County,1.01
54035,Jackson County,1.01
24005,Baltimore County,1.02
29163,Pike County,1.065
39087,Lawrence County,0.99
48143,Erath County,0.95
13137,Habersham County,1.02
13319,Wilkinson County,1.02
54061,Monongalia County,1.01
39033,Crawford County,0.99
39059,Guernsey County,0.99
26015,Barry County,1.0350000000000001
29209,Stone County,1.065
51760,Richmond city,1.0
37169,Stokes County,0.99
19039,Clarke County,1.005
19065,Fayette County,1.005
48381,Randall County,0.95
48401,Rusk County,0.95
19181,Warren County,1.005
39161,Van Wert County,0.99
13199,Meriwether County,1.02
50023,Washington County,1.08
46093,Meade County,0.99
29229,Wright County,1.065
30101,Toole County,0.99
36107,Tioga County,1.17
48287,Lee County,0.95
13121,Fulton County,1.02
48073,Cherokee County,0.95
29007,Audrain County,1.065
20075,Hamilton County,0.99
19151,Pocahontas County,1.005
16045,Gem County,1.02
18111,Newton County,1.01
13119,Franklin County,1.02
13265,Taliaferro County,1.02
30059,Meagher County,0.99
29087,Holt County,1.065
48295,Lipscomb County,0.95
49001,Beaver County,1.02
18075,Jay County,1.01
26117,Montcalm County,1.0350000000000001
36083,Rensselaer County,1.17
35031,McKinley County,1.03
13017,Ben Hill County,1.02
20159,Rice County,0.99
1015,Calhoun County,0.99
21037,Campbell County,1.01
21057,Cumberland County,1.01
48195,Hansford County,0.95
13239,Quitman County,1.02
17039,De Witt County,1.18
27049,Goodhue County,1.05
36059,Nassau County,1.17
38091,Steele County,1.01
29071,Franklin County,1.065
54107,Wood County,1.01
55097,Portage County,1.03
45063,Lexington County,1.02
24003,Anne Arundel County,1.02
55039,Fond du Lac County,1.03
1073,Jefferson County,0.99
1127,Walker County,0.99
29063,DeKalb County,1.065
13083,Dade County,1.02
69110,Saipan Municipality,
17125,Mason County,1.18
51197,Wythe County,1.0
13303,Washington County,1.02
5143,Washington County,1.0
47153,Sequatchie County,1.02
48471,Walker County,0.95
39157,Tuscarawas County,0.99
9110,Capitol Planning Region,1.1
9120,Greater Bridgeport Planning Region,1.1
9130,Lower Connecticut River Valley Planning Region,1.1
9140,Naugatuck Valley Planning Region,1.1
9150,Northeastern Connecticut Planning Region,1.1
9160,Northwest Hills Planning Region,1.1
9170,South Central Connecticut Planning Region,1.1
9180,Southeastern Connecticut Planning Region,1.1
9190,Western Connecticut Planning Region,1.1
48389,Reeves County,0.95
51155,Pulaski County,1.0
37179,Union County,0.99
38053,McKenzie County,1.01
18085,Kosciusko County,1.01
34015,Gloucester County,1.15
33011,Hillsborough County,1.04
