countyCode,state,total_claims,total_building_damage,total_content_damage
01001,AL,77,1162621.56,205584.8
01003,AL,19745,564338260.13,88111950.82
01005,AL,34,540607.13,154243.6
01007,AL,12,30485.45,2500.0
01009,AL,26,118153.97,680773.43
01011,AL,3,41265.12,20849.52
01013,AL,3,4900.0,5000.0
01015,AL,129,569820.1,136438.26
01017,AL,24,706228.27,215239.45
01019,AL,27,359303.37,27272.24
01021,AL,10,75313.82,3178.51
01023,AL,53,499313.97,63495.02
01025,AL,31,724208.91,170376.1
01027,AL,1,0.0,0.0
01031,AL,590,11194853.96,6483933.41
01033,AL,143,1521397.68,397955.82
01035,AL,3,54500.0,7989.5
01037,AL,10,111743.53,74320.08
01039,AL,37,319741.1,76821.98
01041,AL,2,0.0,0.0
01043,AL,30,498600.25,64995.3
01045,AL,144,2485533.53,1153487.02
01047,AL,196,1661901.55,292329.08
01049,AL,40,508100.15,530104.1
01051,AL,66,946018.72,145757.46
01053,AL,384,6626237.95,7130445.29
01055,AL,129,678036.3,137023.77
01059,AL,4,52093.23,0.0
01061,AL,154,2245708.72,531735.24
01063,AL,111,922560.19,145364.97
01065,AL,114,541648.41,129193.97
01067,AL,19,360560.91,105947.44
01069,AL,194,3240041.8,867288.99
01071,AL,69,558561.43,105500.33
01073,AL,2880,36860392.82,10413245.87
01075,AL,14,30204.35,36367.8
01077,AL,141,1110563.68,289796.63
01079,AL,46,669018.4,123467.44
01081,AL,61,465156.18,36130.34
01083,AL,59,589489.05,81337.18
01085,AL,11,105201.66,21250.0
01087,AL,5,32688.61,23273.51
01089,AL,778,8903882.36,2455241.49
01091,AL,40,162700.57,23807.35
01093,AL,11,131688.71,37846.15
01095,AL,41,777471.28,249087.58
01097,AL,15102,279900661.21,82308612.16
01099,AL,24,97490.79,13447.12
01101,AL,416,5579513.43,1079741.85
01103,AL,200,2281147.1,738191.04
01105,AL,2,7314.9,0.0
01107,AL,115,979467.59,173166.71
01111,AL,1,10868.35,4960.62
01113,AL,60,949963.34,132970.58
01115,AL,96,1177881.85,199713.25
01117,AL,797,15062807.33,4131884.99
01119,AL,17,216804.16,40354.88
01121,AL,107,1858755.04,233815.33
01123,AL,6,57533.47,0.0
01125,AL,298,2935854.56,447927.94
01127,AL,64,582397.48,95856.25
01129,AL,15,88636.62,26079.36
01131,AL,21,97134.66,26962.7
01133,AL,11,107487.29,22150.98
02020,AK,79,267443.55,452.72
02050,AK,45,268200.33,37326.9
02090,AK,244,2055144.81,463019.86
02110,AK,101,4441687.0,459095.5
02122,AK,82,625641.3,67881.62
02130,AK,11,96148.1,33304.1
02170,AK,87,2120377.88,30273.49
02180,AK,25,1516481.27,4615.75
02185,AK,1,55781.71,0.0
02188,AK,11,97392.18,0.0
02220,AK,6,20130.27,0.0
02261,AK,8,57655.59,10374.85
02270,AK,2,13411.25,0.0
02280,AK,1,0.0,0.0
02290,AK,72,3200598.73,140900.73
04001,AZ,10,18327.83,0.0
04003,AZ,114,561877.54,61388.54
04005,AZ,294,4707315.07,533400.39
04007,AZ,154,3152700.14,311459.68
04009,AZ,42,260818.85,90469.86
04011,AZ,142,1591000.76,565925.15
04012,AZ,112,868139.01,183917.66
04013,AZ,2630,21871229.64,4167409.6
04015,AZ,162,1675940.35,162670.4
04017,AZ,106,889368.02,81825.23
04019,AZ,581,6721830.48,1149646.78
04021,AZ,150,2514094.34,929093.26
04023,AZ,161,1058424.77,227833.38
04025,AZ,466,5687901.49,550930.02
04027,AZ,123,1014969.25,33853.89
05001,AR,89,1322532.27,110939.54
05003,AR,61,725797.33,99000.81
05005,AR,115,2402311.63,411298.33
05007,AR,336,7716878.58,1415671.05
05009,AR,35,462640.56,21859.75
05011,AR,59,1280854.08,133677.39
05013,AR,9,148393.61,0.0
05015,AR,7,7725.71,1297.32
05017,AR,153,3623406.22,482362.78
05019,AR,32,562483.15,328504.91
05021,AR,180,3575585.2,233298.54
05023,AR,37,968799.35,257523.52
05025,AR,4,44382.73,13914.75
05027,AR,14,61588.52,27977.48
05029,AR,27,247691.31,31722.16
05031,AR,409,5893938.37,2029284.91
05033,AR,71,1326366.25,217910.73
05035,AR,885,11395936.79,1385152.93
05037,AR,61,2009241.23,236514.1
05039,AR,1,7083.83,0.0
05041,AR,206,3196893.3,367695.88
05043,AR,40,609338.3,46029.61
05045,AR,320,6806931.49,844385.22
05047,AR,48,574130.95,141926.04
05049,AR,61,1295331.15,296270.68
05051,AR,270,2949175.28,1355206.5
05053,AR,16,145200.81,255.68
05055,AR,235,1020364.35,26362.75
05057,AR,9,593591.62,24132.36
05059,AR,20,224212.64,65314.84
05061,AR,26,104367.52,57711.19
05063,AR,187,2054878.41,225905.63
05065,AR,71,2100378.99,308906.96
05067,AR,174,2748250.1,334734.97
05069,AR,596,12252467.68,1555250.86
05071,AR,6,29075.82,5032.34
05073,AR,5,78940.75,22934.54
05075,AR,48,838412.29,48343.71
05077,AR,59,1130190.71,151618.26
05079,AR,29,679706.28,21259.12
05081,AR,3,66114.67,15389.25
05083,AR,7,74111.15,4067.47
05085,AR,89,1106571.33,195735.56
