geoid,state_fips,county_fips,area_sqmi,population_2020,pop_density_per_sqmi,housing_units_2022,housing_density_per_sqmi,median_hh_income_2022,urbanization_class
01001,01,001,594.455,58805,98.92,24457,41.14,68315,rural
01003,01,003,1589.863,231767,145.78,125113,78.69,71039,suburban
01005,01,005,885.008,25223,28.5,11673,13.19,39712,rural
01007,01,007,622.47,22293,35.81,9046,14.53,50669,rural
01009,01,009,644.891,59134,91.7,24677,38.27,57440,rural
01011,01,011,622.815,10357,16.63,4541,7.29,36136,rural
01013,01,013,776.839,19051,24.52,9835,12.66,44429,rural
01015,01,015,605.89,116441,192.18,53167,87.75,54339,suburban
01017,01,017,596.554,34772,58.29,16427,27.54,48805,rural
01019,01,019,553.524,24971,45.11,14687,26.53,46621,rural
01021,01,021,692.837,45014,64.97,19546,28.21,62471,rural
01023,01,023,913.479,12665,13.86,7138,7.81,43299,rural
01025,01,025,1238.42,23087,18.64,11733,9.47,47549,rural
01027,01,027,603.962,14236,23.57,7040,11.66,48074,rural
01029,01,029,560.105,15056,26.88,6818,12.17,51553,rural
01031,01,031,678.986,53465,78.74,24155,35.58,62199,rural
01033,01,033,592.953,57227,96.51,27709,46.73,56149,rural
01035,01,035,850.279,11597,13.64,6451,7.59,39888,rural
01037,01,037,650.909,10387,15.96,6045,9.29,52279,rural
01039,01,039,1030.571,37570,36.46,18644,18.09,48772,rural
01041,01,041,608.865,13194,21.67,6553,10.76,48557,rural
01043,01,043,734.739,87866,119.59,39182,53.33,58119,suburban
01045,01,045,561.113,49326,87.91,22829,40.69,52813,rural
01047,01,047,978.738,38462,39.3,18992,19.4,37180,rural
01049,01,049,777.077,71608,92.15,30716,39.53,47920,rural
01051,01,051,618.516,87977,142.24,36787,59.48,73258,suburban
01053,01,053,945.408,36757,38.88,16715,17.68,41153,rural
01055,01,055,535.105,103436,193.3,47412,88.6,52177,suburban
01057,01,057,627.684,16321,26.0,7816,12.45,45650,rural
01059,01,059,633.959,32113,50.65,13940,21.99,47359,rural
01061,01,061,574.485,26659,46.41,12494,21.75,47608,rural
01063,01,063,647.023,7730,11.95,4271,6.6,32796,rural
01065,01,065,643.99,14785,22.96,7464,11.59,35851,rural
01067,01,067,561.892,17146,30.51,9110,16.21,58395,rural
01069,01,069,579.826,107202,184.89,49339,85.09,55064,suburban
01071,01,071,1078.015,52579,48.77,24706,22.92,46748,rural
01073,01,073,1111.54,674721,607.01,308428,277.48,63595,suburban
01075,01,075,604.846,13972,23.1,7104,11.75,49565,rural
01077,01,077,668.018,93564,140.06,44705,66.92,56081,suburban
01079,01,079,690.684,33073,47.88,15270,22.11,54786,rural
01081,01,081,607.545,174241,286.8,75473,124.23,59288,suburban
01083,01,083,563.404,103570,183.83,42616,75.64,80146,suburban
01085,01,085,716.085,10311,14.4,4823,6.74,33125,rural
01087,01,087,608.665,19532,32.09,9662,15.87,41206,rural
01089,01,089,801.602,388153,484.22,171313,213.71,78058,suburban
01091,01,091,976.898,19323,19.78,9834,10.07,42975,rural
01093,01,093,742.342,29341,39.52,14143,19.05,49743,rural
01095,01,095,565.845,97612,172.51,41328,73.04,58272,suburban
01097,01,097,1229.374,414809,337.41,184845,150.36,55352,suburban
01099,01,099,1025.669,19772,19.28,10214,9.96,39965,rural
01101,01,101,785.355,228954,291.53,105488,134.32,56707,suburban
01103,01,103,579.669,123421,212.92,53324,91.99,61588,suburban
01105,01,105,719.67,8511,11.83,3985,5.54,32332,rural
01107,01,107,881.408,19123,21.7,8714,9.89,45339,rural
01109,01,109,672.067,33009,49.12,16049,23.88,42616,rural
01111,01,111,580.55,21967,37.84,12412,21.38,49879,rural
01113,01,113,641.182,59183,92.3,27382,42.71,47420,rural
01115,01,115,631.57,91103,144.25,38133,60.38,73218,suburban
01117,01,117,785.441,223024,283.95,89612,114.09,90618,suburban
01119,01,119,903.826,12345,13.66,6329,7.0,31726,rural
01121,01,121,736.817,82149,111.49,38088,51.69,52457,suburban
01123,01,123,716.528,41311,57.65,22777,31.79,53282,rural
01125,01,125,1320.848,227036,171.89,101330,76.72,61645,suburban
01127,01,127,791.03,65342,82.6,30127,38.09,52987,rural
01129,01,129,1080.255,15388,14.24,7779,7.2,51184,rural
01131,01,131,887.858,10600,11.94,5314,5.99,38208,rural
01133,01,133,612.998,23540,38.4,13091,21.36,49494,rural
02013,02,013,6986.254,3420,0.49,1089,0.16,79961,frontier
02016,02,016,4393.026,5232,1.19,1403,0.32,100662,frontier
02020,02,020,1707.004,291247,170.62,118938,69.68,95731,suburban
02050,02,050,40638.578,18666,0.46,6003,0.15,64094,frontier
02060,02,060,481.952,844,1.75,875,1.82,94167,frontier
02063,02,063,9530.193,7102,0.75,3760,0.39,83068,frontier
02066,02,066,24692.42,2617,0.11,2564,0.1,70606,frontier
02068,02,068,12641.049,1619,0.13,1385,0.11,87292,frontier
02070,02,070,18333.994,4857,0.26,2417,0.13,69412,frontier
02090,02,090,7334.752,95655,13.04,42772,5.83,81655,rural
02100,02,100,2343.605,2080,0.89,1410,0.6,68276,frontier
02105,02,105,6559.711,2365,0.36,1708,0.26,62344,frontier
02110,02,110,2704.203,32255,11.93,14073,5.2,95711,rural
02122,02,122,16017.53,58799,3.67,32567,2.03,76272,frontier
02130,02,130,4857.02,13948,2.87,6615,1.36,82763,frontier
02150,02,150,6689.481,13101,1.96,5798,0.87,91138,frontier
02158,02,158,17077.09,8368,0.49,2335,0.14,42663,frontier
02164,02,164,23831.86,1476,0.06,1380,0.06,61607,frontier
02170,02,170,24707.306,107081,4.33,50491,2.04,86435,frontier
02180,02,180,22969.508,10046,0.44,4116,0.18,70121,frontier
02185,02,185,88823.624,11031,0.12,2625,0.03,83472,frontier
02188,02,188,35663.282,7793,0.22,2726,0.08,77647,frontier
02195,02,195,2900.828,3398,1.17,1792,0.62,77826,frontier
02198,02,198,5267.817,5753,1.09,3252,0.62,61779,frontier
02220,02,220,2870.063,8458,2.95,4138,1.44,95261,frontier
02230,02,230,433.971,1240,2.86,631,1.45,79583,frontier
02240,02,240,24832.27,6808,0.27,3537,0.14,75378,frontier
02275,02,275,2556.131,2127,0.83,1350,0.53,61000,frontier
02282,02,282,7625.25,662,0.09,420,0.06,76875,frontier
02290,02,290,145581.869,5343,0.04,4018,0.03,47826,frontier
04001,04,001,11198.313,66021,5.9,29032,2.59,37483,frontier
04003,04,003,6209.863,125447,20.2,59056,9.51,58421,rural
04005,04,005,18616.354,145101,7.79,69233,3.72,67266,frontier
04007,04,007,4757.578,53272,11.2,32519,6.84,55242,rural
04009,04,009,4621.877,38533,8.34,13755,2.98,64089,frontier
04011,04,011,1842.838,9563,5.19,4409,2.39,73756,frontier
04012,04,012,4496.579,16557,3.68,13692,3.04,46634,frontier
04013,04,013,9202.016,4420568,480.39,1821463,197.94,80675,suburban
04015,04,015,13332.117,213267,16.0,118073,8.86,53592,rural
04017,04,017,9949.492,106717,10.73,56556,5.68,50335,rural
04019,04,019,9188.683,1043433,113.56,471058,51.27,64323,suburban
04021,04,021,5366.671,425264,79.24,175474,32.7,73313,rural
04023,04,023,1236.26,47669,38.56,18811,15.22,51885,rural
04025,04,025,8122.932,236209,29.08,121829,15.0,62430,rural
04027,04,027,5513.82,203881,36.98,92808,16.83,56439,rural
05001,05,001,992.14,17149,17.28,8717,8.79,58695,rural
05003,05,003,925.492,19062,20.6,9432,10.19,44804,rural
05005,05,005,553.931,41627,75.15,22747,41.06,47403,rural
05007,05,007,847.733,284333,335.4,114425,134.98,85269,suburban
05009,05,009,589.723,37373,63.37,17354,29.43,52275,rural
05011,05,011,649.167,10545,16.24,5112,7.87,43688,rural
05013,05,013,628.601,4739,7.54,2476,3.94,60237,frontier
05015,05,015,629.928,28260,44.86,13858,22.0,56826,rural
05017,05,017,636.978,10208,16.03,5131,8.06,36593,rural
05019,05,019,865.971,21446,24.77,10039,11.59,48071,rural
05021,05,021,639.224,14552,22.77,7514,11.75,44685,rural
05023,05,023,553.959,24711,44.61,15619,28.2,52780,rural
05025,05,025,597.91,7550,12.63,3604,6.03,48913,rural
05027,05,027,766.065,22801,29.76,11051,14.43,47441,rural
05029,05,029,551.917,20715,37.53,9659,17.5,50282,rural
05031,05,031,707.162,111231,157.29,47084,66.58,55169,suburban
05033,05,033,595.269,60133,101.02,25453,42.76,56702,suburban
05035,05,035,612.865,48163,78.59,21335,34.81,51860,rural
05037,05,037,616.318,16833,27.31,7618,12.36,48129,rural
05039,05,039,667.323,6482,9.71,3511,5.26,40085,frontier
05041,05,041,741.227,11395,15.37,5828,7.86,38067,rural
05043,05,043,828.667,17350,20.94,8289,10.0,44968,rural
05045,05,045,647.243,123498,190.81,52070,80.45,61273,suburban
05047,05,047,608.967,17097,28.08,7750,12.73,47695,rural
05049,05,049,617.994,12075,19.54,6247,10.11,38917,rural
05051,05,051,677.615,100180,147.84,52383,77.3,54229,suburban
05053,05,053,631.888,17958,28.42,7874,12.46,68598,rural
05055,05,055,577.34,45736,79.22,19235,33.32,54879,rural
05057,05,057,727.2,20065,27.59,9663,13.29,45049,rural
05059,05,059,614.944,33040,53.73,14247,23.17,50260,rural
05061,05,061,587.332,12785,21.77,6168,10.5,44824,rural
05063,05,063,763.712,37938,49.68,16689,21.85,52361,rural
05065,05,065,580.201,13577,23.4,6764,11.66,46159,rural
05067,05,067,633.611,16755,26.44,7118,11.23,41929,rural
05069,05,069,872.346,67260,77.1,30767,35.27,46855,rural
05071,05,071,660.99,25749,38.96,11503,17.4,42470,rural
05073,05,073,529.472,6308,11.91,3948,7.46,40262,rural
05075,05,075,587.528,16216,27.6,7556,12.86,43606,rural
05077,05,077,599.807,8600,14.34,3736,6.23,33801,rural
05079,05,079,559.466,12941,23.13,4400,7.86,50526,rural
05081,05,081,531.255,12026,22.64,6077,11.44,58627,rural
05083,05,083,709.115,21131,29.8,9779,13.79,51131,rural
05085,05,085,771.45,74015,95.94,30238,39.2,68078,rural
05087,05,087,834.238,16521,19.8,7666,9.19,51514,rural
05089,05,089,596.598,16826,28.2,9515,15.95,42891,rural
05091,05,091,624.04,42600,68.26,19790,31.71,47613,rural
05093,05,093,902.093,40685,45.1,19194,21.28,50012,rural
05095,05,095,607.461,6799,11.19,3864,6.36,41786,rural
05097,05,097,780.453,8484,10.87,5473,7.01,47103,rural
05099,05,099,617.79,8310,13.45,4323,7.0,43421,rural
05101,05,101,821.076,7225,8.8,4124,5.02,50699,frontier
05103,05,103,732.721,22650,30.91,11925,16.27,47348,rural
05105,05,105,551.336,10019,18.17,4946,8.97,53980,rural
05107,05,107,690.36,16568,24.0,8434,12.22,37458,rural
05109,05,109,600.335,10171,16.94,5319,8.86,49248,rural
05111,05,111,758.295,22965,30.29,10415,13.73,43440,rural
05113,05,113,856.838,19221,22.43,9652,11.26,48449,rural
05115,05,115,810.952,63381,78.16,26940,33.22,51678,rural
05117,05,117,647.516,8282,12.79,4105,6.34,47045,rural
05119,05,119,758.366,399125,526.3,190782,251.57,58326,suburban
05121,05,121,651.913,18571,28.49,8587,13.17,45993,rural
05123,05,123,634.784,23090,36.37,9653,15.21,39822,rural
05125,05,125,723.516,123416,170.58,51927,71.77,73236,suburban
05127,05,127,892.85,9836,11.02,4880,5.47,45340,rural
05129,05,129,665.879,7828,11.76,4725,7.1,42063,rural
05131,05,131,531.183,127799,240.59,56926,107.17,54047,suburban
05133,05,133,563.569,15839,28.1,6767,12.01,53567,rural
05135,05,135,604.641,17271,28.56,9535,15.77,43332,rural
05137,05,137,606.44,12359,20.38,6796,11.21,37664,rural
05139,05,139,1039.067,39054,37.59,18722,18.02,49745,rural
05141,05,141,709.57,15796,22.26,9725,13.71,45768,rural
05143,05,143,941.45,245871,261.16,100954,107.23,61985,suburban
05145,05,145,1033.966,76822,74.3,33395,32.3,51144,rural
05147,05,147,585.973,6269,10.7,3289,5.61,49608,rural
05149,05,149,930.386,20263,21.78,9293,9.99,55879,rural
06001,06,001,737.459,1682353,2281.28,622856,844.6,122488,dense_urban
06003,06,003,738.34,1204,1.63,1617,2.19,101125,frontier
06005,06,005,594.585,40474,68.07,18813,31.64,74853,rural
06007,06,007,1636.49,211632,129.32,93069,56.87,66085,suburban
06009,06,009,1020.016,45292,44.4,27521,26.98,77526,rural
06011,06,011,1150.679,21839,18.98,8107,7.05,69619,rural
06013,06,013,716.896,1165927,1626.35,424057,591.52,120020,dense_urban
06015,06,015,1006.202,27743,27.57,11103,11.03,61149,rural
06017,06,017,1707.841,191185,111.95,93679,54.85,99246,suburban
06019,06,019,5958.383,1008654,169.28,339270,56.94,67756,suburban
06021,06,021,1313.968,28917,22.01,10914,8.31,64033,rural
06023,06,023,3568.025,136463,38.25,62306,17.46,57881,rural
06025,06,025,4175.528,179702,43.04,56907,13.63,53847,rural
06027,06,027,10197.261,19016,1.86,9471,0.93,63417,frontier
06029,06,029,8134.673,909235,111.77,301687,37.09,63883,suburban
06031,06,031,1390.972,152486,109.63,46500,33.43,68540,suburban
06033,06,033,1255.082,68163,54.31,34313,27.34,56259,rural
06035,06,035,4541.369,32730,7.21,12266,2.7,59515,frontier
06037,06,037,4060.246,10014009,2466.36,3599561,886.54,83411,dense_urban
06039,06,039,2136.918,156255,73.12,49880,23.34,73543,rural
06041,06,041,520.141,262321,504.33,111681,214.71,142019,suburban
06043,06,043,1448.84,17131,11.82,9824,6.78,60021,rural
06045,06,045,3506.807,91601,26.12,41380,11.8,61335,rural
06047,06,047,1938.004,281202,145.1,87895,45.35,64772,suburban
06049,06,049,3948.233,8700,2.2,4784,1.21,54962,frontier
06051,06,051,3048.904,13195,4.33,13625,4.47,82038,frontier
06053,06,053,3281.718,439035,133.78,143743,43.8,91043,suburban
06055,06,055,751.975,138019,183.54,55588,73.92,105809,suburban
06057,06,057,957.76,102241,106.75,53690,56.06,79395,suburban
06059,06,059,792.861,3186989,4019.61,1130658,1426.05,109361,dense_urban
06061,06,061,1407.084,404739,287.64,173090,123.01,109375,suburban
06063,06,063,2553.062,19790,7.75,15436,6.05,67885,frontier
06065,06,065,7209.253,2418185,335.43,851646,118.13,84505,suburban
06067,06,067,965.28,1585055,1642.07,588894,610.08,84010,dense_urban
06069,06,069,1388.652,64209,46.24,20485,14.75,104451,rural
06071,06,071,20068.167,2181654,108.71,733104,36.53,77423,suburban
06073,06,073,4210.46,3298634,783.44,1230349,292.21,96974,suburban
06075,06,075,46.7,873965,18714.45,408198,8740.86,136689,dense_urban
06077,06,077,1392.238,779233,559.7,252327,181.24,82837,suburban
06079,06,079,3300.842,282424,85.56,123968,37.56,90158,rural
06081,06,081,448.606,764442,1704.04,284211,633.54,149907,dense_urban
06083,06,083,2733.941,448229,163.95,158807,58.09,92332,suburban
06085,06,085,1291.084,1936259,1499.72,688287,533.11,153792,dense_urban
06087,06,087,445.106,270861,608.53,106433,239.12,104409,suburban
06089,06,089,3775.651,182155,48.24,79626,21.09,68347,rural
06091,06,091,953.168,3236,3.39,2092,2.19,61108,frontier
06093,06,093,6278.767,44076,7.02,23013,3.67,53898,frontier
06095,06,095,821.736,453491,551.87,162513,197.77,97037,suburban
06097,06,097,1575.337,488863,310.32,205393,130.38,99266,suburban
06099,06,099,1496.15,552878,369.53,183317,122.53,74872,suburban
06101,06,101,602.696,99633,165.31,34560,57.34,72654,suburban
06103,06,103,2949.137,65829,22.32,27440,9.3,59029,rural
06105,06,105,3179.268,16112,5.07,8201,2.58,47317,frontier
06107,06,107,4823.899,473117,98.08,151190,31.34,64474,rural
06109,06,109,2220.911,55620,25.04,31447,14.16,70432,rural
06111,06,111,1840.775,843843,458.42,293491,159.44,102141,suburban
06113,06,113,1012.988,216403,213.63,80533,79.5,85097,suburban
06115,06,115,632.006,81575,129.07,29626,46.88,66693,suburban
08001,08,001,1166.74,519572,445.32,187811,160.97,86297,suburban
08003,08,003,722.645,16376,22.66,7084,9.8,52271,rural
08005,08,005,797.884,655070,821.01,262688,329.23,92292,suburban
08007,08,007,1350.088,13359,9.89,9591,7.1,66813,frontier
08009,08,009,2554.993,3506,1.37,1985,0.78,42115,frontier
08011,08,011,1512.847,5650,3.73,2151,1.42,45776,frontier
08013,08,013,726.385,330758,455.35,141007,194.12,99770,suburban
08014,08,014,32.968,74112,2248.0,31338,950.56,117541,dense_urban
08015,08,015,1013.408,19476,19.22,11072,10.93,65703,rural
