Utility ID,Utility Name,Plant Code,Plant Name,Street Address,City,State,Zip,County,Latitude,Longitude,NERC Region,Balancing Authority Code,Balancing Authority Name,Name of Water Source,Primary Purpose (NAICS Code),Regulatory Status,Sector,Sector Name,FERC Cogeneration Status,FERC Cogeneration Docket Number,FERC Small Power Producer Status,FERC Small Power Producer Docket Number,FERC Exempt Wholesale Generator Status,FERC Exempt Wholesale Generator Docket Number,Ash Impoundment?,Ash Impoundment Lined?,Ash Impoundment Status,Transmission or Distribution System Owner,Transmission or Distribution System Owner ID,Transmission or Distribution System Owner State,Grid Voltage (kV),Grid Voltage 2 (kV),Grid Voltage 3 (kV),Energy Storage,Natural Gas LDC Name,Natural Gas Pipeline Name 1,Natural Gas Pipeline Name 2,Natural Gas Pipeline Name 3,Pipeline Notes,Natural Gas Storage,Liquefied Natural Gas Storage
18642,Tennessee Valley Authority,46,Browns Ferry,Shaw Rd. PO Box 2000,Decatur,AL,35609,Limestone,34.7042,-87.1189,SERC,TVA,Tennessee Valley Authority,Tennessee River,22,RE,1,Electric Utility,N,,N,,N,,,X,,Tennessee Valley Authority,18642,AL,500, , ,N,,,,,,N,
55951,Constellation Nuclear,204,Clinton Power Station,Rt. 54 West,Clinton,IL,61727,DeWitt,40.1719,-88.8339,SERC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",Salt Creek,22,NR,2,IPP Non-CHP,N,,N,,N,,N,X,,Ameren Illinois Company,56697,IL,345, , ,N,,,,,,N,X
20893,Wolf Creek Nuclear Optg Corp,210,Wolf Creek Generating Station,1550 Oxen Lane N.E.,Burlington,KS,66839,Coffey,38.23926,-95.68978,MRO,SWPP,Southwest Power Pool,Wolf Creek Cooling Lake,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Kansas Gas & Electric Co,10005,KS,345, , ,N,,,,,,,
20160,Energy Northwest,371,Columbia Generating Station,76 N Power Plant Loop,Richland,WA,99352,Benton,46.4711,-119.3339,WECC,BPAT,Bonneville Power Administration,Columbia River,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Bonneville Power Administration,1738,WA,500, , ,N,,,,,,X,X
5221,Dominion Energy Nuclear Conn Inc,566,Millstone,314 Rope Ferry Road,Waterford,CT,6385,New London,41.3107,-72.1677,NPCC,ISNE,ISO New England Inc.,Long Island Sound,22,NR,2,IPP Non-CHP,N,,N,,N,,N,X,,NSTAR Electric Company,54913,MA,345, , ,N,,,,,,X,X
6452,Florida Power & Light Co,621,Turkey Point,9700 SW 344th Street,Homestead,FL,33035,Miami Dade,25.4356,-80.3308,SERC,FPL,Florida Power & Light Company,Biscayne Bay,22,RE,1,Electric Utility,N,,N,,N,,,X,,Florida Power & Light Co,6452,FL,230, , ,N,,FLORIDA GAS TRANSMISSION COMPANY,,,,N,
7140,Georgia Power Co,649,Vogtle,7821 River Road,Waynesboro,GA,30830,Burke,33.1427,-81.7625,SERC,SOCO,"Southern Company Services, Inc. - Trans",Savannah River,22,RE,1,Electric Utility,N,,N,,N,,N,X,,Georgia Power Co,7140,GA,500, , ,N,,,,,,X,X
55951,Constellation Nuclear,869,Dresden Generating Station,12RR1 Morris,Morris,IL,60450,Grundy,41.39,-88.27,RFC,PJM,"PJM Interconnection, LLC",Kankakee River,22,NR,2,IPP Non-CHP,N,,N,,N,,N,X,,Commonwealth Edison Co,4110,IL,345, , ,N,,,,,,N,X
55951,Constellation Nuclear,880,Quad Cities Generating Station,22710 206 Ave N,Cordova,IL,61242,Rock Island,41.726111,-90.310278,RFC,PJM,"PJM Interconnection, LLC",Mississippi River,22,NR,2,IPP Non-CHP,N,,N,,N,,N,X,,Commonwealth Edison Co,4110,IL,345, , ,N,,,,,,N,X
66469,"Holtec Palisades, LLC",1715,Palisades,27780 Blue Star Memorial Hwy.,Covert,MI,49043,Van Buren,42.323,-86.3146,REC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",Lake Michigan,22,NR,2,IPP Non-CHP,N,,N,,Y,"06-155-000, 06-1410-000, 06-1411-000",N,X,,ITC Transmission,56068,MI,345, , ,N,,,,,,N,N
